week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
30,2024-07-22,50.55,14,1400,51.0,2024-07-26,2.13,14,2982.0,print_1000,0.9664,4.213649851632048,0.8902077151335286,5.103857566765584,False,47.0,2024-08-16,16,25,5928.627875900393,75754.62787590039
31,2024-07-29,44.62,15,1500,45.0,2024-08-02,2.18,15,3270.0000000000005,print_1000,1.2929000000000002,4.885701479157329,0.8516360376512822,5.737337516808613,True,47.0,2024-08-16,16,18,4726.377875900393,76994.37787590039
32,2024-08-05,28.05,16,1600,31.0,2024-08-09,1.78,16,2848.0,print_1000,2.1376,6.3458110516934045,10.516934046345817,16.862745098039213,False,47.0,2024-08-16,16,11,4758.477875900393,79854.4778759004
33,2024-08-12,30.77,17,1700,32.0,2024-08-16,1.42,17,2414.0,print_1000,1.4378,4.614884627884303,3.99740006499838,8.61228469288268,True,47.0,2024-08-16,17,4,69487.7778759004,69812.7778759004
34,2024-08-19,38.5,15,1500,39.0,2024-08-23,1.58,15,2370.0,print_1000,1.1699000000000002,4.103896103896104,1.298701298701288,5.402597402597403,False,30.0,2024-11-15,15,88,62703.9278759004,71745.92787590041
35,2024-08-26,39.27,15,1500,40.5,2024-08-30,1.81,15,2715.0,print_1000,1.5349000000000002,4.609116373822256,3.1321619556913483,7.741278329513615,True,30.0,2024-11-15,15,81,6496.677875900394,73690.1778759004
36,2024-09-03,34.33,16,1600,35.0,2024-09-06,1.3,16,2080.0,print_1000,1.3914,3.7867754150888437,1.9516457908534957,5.73842120594233,False,30.0,2024-11-15,16,73,4525.1278759003935,66572.62787590039
37,2024-09-09,27.38,17,1700,27.5,2024-09-13,1.56,17,2652.0,print_1000,1.2191,5.6975894813732655,0.43827611395179655,6.1358655953250585,False,30.0,2024-11-15,17,67,50680.427875900394,64301.927875900394
38,2024-09-16,32.32,15,1500,32.5,2024-09-20,1.64,15,2460.0,print_1000,1.18222,5.074257425742574,0.5569306930693019,5.63118811881188,True,30.0,2024-11-15,17,60,53385.677875900394,65719.6778759004
39,2024-09-23,33.7,15,1500,34.0,2024-09-27,1.4,15,2100.0,print_1000,0.9746,4.154302670623144,0.8902077151335286,5.044510385756667,False,30.0,2024-11-15,17,53,55910.92787590039,64420.42787590039
40,2024-09-30,36.6,15,1500,37.0,2024-10-04,1.55,15,2325.0,print_1000,0.9921,4.2349726775956285,1.0928961748633892,5.327868852459012,False,30.0,2024-11-15,17,46,3318.6778759003864,66761.67787590038
41,2024-10-07,36.27,15,1500,36.5,2024-10-11,1.4,15,2100.0,print_1000,0.9898,3.859939343810311,0.6341328921974032,4.494072236007711,False,30.0,2024-11-15,17,39,60151.42787590039,66709.92787590038
42,2024-10-14,40.9,14,1400,41.0,2024-10-18,1.37,14,1918.0000000000002,print_1000,0.8492000000000001,3.3496332518337413,0.24449877750611915,3.594132029339857,False,30.0,2024-11-15,17,32,4793.327875900387,62613.82787590039
43,2024-10-21,35.19,15,1500,35.5,2024-10-25,1.3,15,1950.0,print_1000,0.9136,3.694231315714692,0.8809320829781253,4.575163398692817,False,30.0,2024-11-15,17,25,3214.077875900387,63447.57787590039
44,2024-10-28,35.52,15,1500,36.0,2024-11-01,1.41,15,2115.0,print_1000,1.0378,3.9695945945945943,1.3513513513513375,5.320945945945937,False,30.0,2024-11-15,17,18,5319.327875900387,63460.82787590039
45,2024-11-04,30.89,16,1600,31.0,2024-11-08,1.7,16,2720.0,print_1000,1.2628,5.503399158303658,0.35610229847846675,5.859501456782128,False,30.0,2024-11-15,17,11,54531.42787590039,58990.42787590039
46,2024-11-11,32.04,17,1700,32.5,2024-11-15,1.2,17,2040.0,print_1000,0.964,3.7453183520599254,1.4357053682896304,5.181023720349566,False,30.0,2024-11-15,17,4,64375.37787590038,64375.37787590038
47,2024-11-18,26.59,20,2000,27.0,2024-11-22,1.32,20,2640.0,print_1000,1.2464,4.964272282813088,1.5419330575404233,6.506205340353517,True,26.0,2025-02-21,20,95,58765.82308064725,66965.82308064726
48,2024-11-25,29.02,20,2000,29.5,2024-11-29,0.61,20,1220.0,print_1000,0.6968000000000001,2.101998621640248,1.6540317022742945,3.7560303239145427,False,26.0,2025-02-21,20,88,1922.8230806472493,64882.82308064725
49,2024-12-02,29.74,20,2000,30.0,2024-12-06,0.96,20,1920.0,print_1000,0.9066,3.2279757901815738,0.8742434431741719,4.102219233355755,False,26.0,2025-02-21,20,81,3829.8230806472493,68299.82308064724
50,2024-12-09,30.03,21,2100,30.5,2024-12-13,0.88,21,1848.0,print_1000,0.8515,2.93040293040293,1.5651015651015676,4.495504495504491,False,26.0,2025-02-21,21,74,66251.44174856845,71226.44174856845
51,2024-12-16,32.11,20,2000,32.5,2024-12-20,1.44,20,2880.0,print_1000,1.0144,4.484584241669262,1.2145748987854255,5.699159140454689,False,26.0,2025-02-21,21,67,4888.4417485684535,66810.94174856845
52,2024-12-23,29.17,21,2100,29.5,2024-12-27,0.87,21,1827.0,print_1000,0.7191400000000001,2.9825162838532737,1.1312992800822652,4.113815563935544,False,26.0,2025-02-21,21,60,65723.79174856846,70283.79174856846
53,2024-12-30,27.51,23,2300,28.0,2025-01-03,0.7260724816849873,23,1669.9667078754708,model,0.8164,2.639303822918892,1.781170483460559,4.420474306379446,False,26.0,2025-02-21,23,53,3423.348355957046,72257.84835595704
