date,equity
2022-05-17,96542.55011122442
2022-05-18,101082.05011122444
2022-05-19,101491.55011122444
2022-05-20,101708.05011122444
2022-05-24,101931.20011122443
2022-05-25,102974.70011122443
2022-05-26,103050.20011122443
2022-05-27,100452.20011122443
2022-06-01,99228.20011122443
2022-06-02,104615.20011122443
2022-06-03,99868.70011122443
2022-06-07,102982.80011122444
2022-06-08,100734.80011122444
2022-06-09,96678.30011122444
2022-06-10,92287.30011122444
2022-06-14,89497.45011122443
2022-06-15,89827.45011122443
2022-06-16,87738.95011122443
2022-06-17,87193.95011122443
2022-06-22,89452.80011122444
2022-06-23,89513.80011122444
2022-06-24,90220.00011122444
2022-06-28,91081.05011122444
2022-06-29,90802.05011122444
2022-06-30,90362.05011122444
2022-07-01,89396.55011122444
2022-07-06,86195.45011122445
2022-07-07,80245.95011122445
2022-07-08,79457.95011122445
2022-07-12,82347.95011122443
2022-07-13,82167.95011122443
2022-07-14,82233.95011122443
2022-07-15,81313.95011122443
2022-07-19,81069.45011122443
2022-07-20,81180.45011122443
2022-07-21,81078.95011122443
2022-07-22,80944.85011122443
2022-07-26,80182.35011122443
2022-07-27,81935.85011122443
2022-07-28,82303.85011122443
2022-07-29,82714.25011122444
2022-08-02,82827.75011122444
2022-08-03,85427.75011122444
2022-08-04,86620.25011122444
2022-08-05,84838.65011122443
2022-08-09,78350.65011122444
2022-08-10,80286.65011122443
2022-08-11,79853.15011122443
2022-08-12,83170.65011122443
2022-08-16,81926.60011122444
2022-08-17,79827.10011122444
2022-08-18,81660.10011122444
2022-08-19,78559.10011122443
2022-08-23,78530.30011122442
2022-08-24,78728.30011122442
2022-08-25,79394.30011122442
2022-08-26,77486.30011122442
2022-08-30,76948.30011122442
2022-08-31,75870.30011122442
2022-09-01,75488.3001112244
2022-09-02,74656.30011122442
2022-09-07,73777.00011122442
2022-09-08,74041.00011122442
2022-09-09,71529.00011122442
2022-09-13,69929.00011122442
2022-09-14,70426.00011122442
2022-09-15,69756.00011122442
2022-09-16,69916.00011122444
2022-09-20,70292.30011122444
2022-09-21,69386.30011122442
2022-09-22,70656.30011122415
2022-09-23,70850.30011122444
2022-09-27,71641.5625498461
2022-09-28,71209.0625498461
2022-09-29,72228.5625498461
2022-09-30,72004.0625498461
2022-10-04,68619.27014133673
2022-10-05,67667.77014133673
2022-10-06,68646.27014133673
2022-10-07,74472.77014133673
2022-10-11,75704.52699721252
2022-10-12,75308.52699721252
2022-10-13,75690.52699721252
2022-10-14,75570.02699721252
2022-10-18,76433.76330526889
2022-10-19,76533.76330526889
2022-10-20,76755.76330526889
2022-10-21,74960.16330526888
2022-10-25,74344.76370462055
2022-10-26,75254.26370462055
2022-10-27,76098.76370462056
2022-10-28,74750.66370462056
2022-11-01,76458.66370462056
2022-11-02,76246.66370462056
2022-11-03,76151.66370462056
2022-11-04,76920.66370462056
2022-11-08,74667.61370462055
2022-11-09,77018.61370462055
2022-11-10,68962.61370462055
2022-11-11,63939.91370462056
2022-11-15,64292.91370462056
2022-11-16,65109.91370462056
2022-11-17,64960.41370462056
2022-11-18,64898.91370462056
2022-11-22,65785.56891142667
2022-11-23,65734.56891142667
2022-11-25,66174.06891142667
2022-11-29,64611.906936234314
2022-11-30,67640.90693623431
2022-12-01,67717.90693623431
2022-12-02,68792.90693623431
2022-12-06,66085.1969815877
2022-12-07,66025.6969815877
2022-12-08,68917.69698158768
2022-12-09,67981.69698158768
2022-12-13,69610.9969815877
2022-12-14,69864.4969815877
2022-12-15,67054.4969815877
2022-12-16,66303.9969815877
2022-12-20,64924.93797593666
2022-12-21,65628.93797593667
2022-12-22,64235.937975936664
2022-12-23,64001.937975936664
2022-12-28,63329.762092569435
2022-12-29,63410.26209256944
2022-12-30,64132.16209256943
2022-12-30,62548.66209256944
