week,monday,spot_1000_high,lots,shares,call_strike,call_expiry,call_px,call_qty,call_premium,call_mark,call_iv,prem_pct,otm_pct,gross_if_called_pct,target_hit,put_strike,put_expiry,put_qty,put_dte,cash_after,equity
42,2024-10-14,40.9,14,1400,,,,,,,,,,,,38.0,2024-11-15,15,32,1488.9171181441325,59280.917118144134
43,2024-10-21,35.19,14,1400,35.5,2024-10-25,1.3,14.0,1820.0,print_1000,0.9136,3.694231315714692,0.8809320829781253,4.575163398692817,False,38.0,2024-11-15,15,25,3299.8171181441326,60008.817118144136
44,2024-10-28,35.52,14,1400,36.0,2024-11-01,1.41,14.0,1974.0,print_1000,1.0378,3.9695945945945943,1.3513513513513375,5.320945945945937,False,38.0,2024-11-15,15,18,5264.717118144133,60323.21711814413
45,2024-11-04,30.89,15,1500,31.0,2024-11-08,1.7,15.0,2550.0,print_1000,1.2628,5.503399158303658,0.35610229847846675,5.859501456782128,False,38.0,2024-11-15,15,11,248.46711814412993,55845.96711814413
46,2024-11-11,32.04,15,1500,,,,,,,,,,,,38.0,2024-11-15,15,4,57240.96711814413,57240.96711814413
47,2024-11-18,26.59,18,1800,27.0,2024-11-22,1.32,18.0,2376.0,print_1000,1.2464,4.964272282813088,1.5419330575404233,6.506205340353517,True,26.0,2025-02-21,18,95,2677.9678024163095,59557.96780241631
48,2024-11-25,29.02,18,1800,,,,,,,,,,,,26.0,2025-02-21,18,88,2677.9678024163095,59341.96780241631
49,2024-12-02,29.74,18,1800,30.0,2024-12-06,0.96,18.0,1728.0,print_1000,0.9066,3.2279757901815738,0.8742434431741719,4.102219233355755,False,26.0,2025-02-21,18,81,4394.26780241631,62417.26780241631
50,2024-12-09,30.03,19,1900,30.5,2024-12-13,0.88,19.0,1672.0,print_1000,0.8515,2.93040293040293,1.5651015651015676,4.495504495504491,False,26.0,2025-02-21,19,74,4600.486470337519,65045.98647033752
51,2024-12-16,32.11,20,2000,,,,,,,,,,,,26.0,2025-02-21,20,67,939.9125964114817,62937.41259641148
52,2024-12-23,29.17,20,2000,29.5,2024-12-27,0.87,20.0,1740.0,print_1000,0.7191400000000001,2.9825162838532737,1.1312992800822652,4.113815563935544,False,26.0,2025-02-21,20,60,4333.344828569769,66307.41259641148
53,2024-12-30,27.51,21,2100,,,,,,,,,,,,26.0,2025-02-21,21,53,1246.3647783263268,65451.36477832633
