rule,exposure,sr_train,sr_test,sr_full,ann_full,maxdd
dist_sma20:bot50,0.4744933612858141,0.34982280572170504,0.7904812620590382,0.5478582907151622,0.1418609921355527,-0.4848961926875578
dist_sma20:bot25,0.22711390635918938,0.3304315688617434,0.5781708979003788,0.44074602900846316,0.08562634328077787,-0.2629085133570054
last30_ret:bot33,0.2948986722571628,0.32600368189035733,1.0126353723247223,0.5916319132898796,0.11337714791779133,-0.3057505595284842
rv5_over_rv21:top50,0.4835779175401817,0.3186658820519226,0.7948875201024613,0.5335275482459059,0.12071655826543681,-0.3665005117222071
prior_overnight:bot33,0.3053808525506639,0.2879179824438325,-0.23022040023153234,0.04592231368272915,0.00937217050655062,-0.4268430654586284
vxx_chg:top33,0.3333333333333333,0.28304288696007057,0.2109941120259177,0.24909684999883316,0.04665762484452695,-0.3109476654034422
rsi14:bot25,0.2236198462613557,0.24184712599496594,0.7000627569625335,0.4557869765410974,0.08959299775815585,-0.2776179553223165
dist_sma20:bot33,0.3025856044723969,0.22360362911271597,0.5764823038518108,0.38153534249780213,0.0858066844743418,-0.34446296848345626
rv5_over_rv21:bot33,0.3438155136268344,0.22212252118388306,0.5989635449466167,0.3858914677246731,0.06266676762028986,-0.293175149603747
rv5_over_rv21:top33,0.3214535290006988,0.21197525537365156,0.6198566899761104,0.4051763742204105,0.07799168109879082,-0.3941590382308705
rsi14:bot33,0.3060796645702306,0.19982945196384555,0.7256467341221362,0.4409243694649286,0.09743774233986224,-0.34581670959820354
vxx_chg:top50,0.5408805031446541,0.1732403718805209,0.6735573729851649,0.40831955397305364,0.09475927834952326,-0.3202829847286587
ret5d:top50,0.5136268343815513,0.16940009468259826,0.8282937029224192,0.44500079604282117,0.07876715692868493,-0.3407066204722392
intraday_ret:top25,0.22431865828092243,0.15322915035975412,0.6552798418083113,0.3758455930010749,0.058349581206744605,-0.25874780490859395
ret5d:bot50,0.4863731656184486,0.14704320672586124,0.7073535937698505,0.3986143941280692,0.0990433685979453,-0.45591218187780413
vxx_chg:bot50,0.4591194968553459,0.1364379150210766,0.8604421025559097,0.419413666269005,0.08305124717710702,-0.5002209898706664
ret5d:top25,0.2292103424178896,0.11230966048267756,0.34988304996566116,0.2052406268812566,0.02748205794644246,-0.32815400382281956
last30_ret:bot25,0.2082459818308875,0.10972692492590673,0.7053266249568564,0.3207668762098777,0.05493871000528431,-0.29296206626909393
close_in_range:bot25,0.23619846261355695,0.10336854182250199,0.9274818574370197,0.4433923029175129,0.07298713828541946,-0.27505732704132313
close_in_range:bot33,0.32634521313766596,0.10325338660189043,1.041981503869305,0.5124036061333554,0.09680350630998734,-0.3063986498591049
ret5d:bot25,0.23200559049615654,0.0911455127125261,0.7714673879229812,0.40169892640564175,0.07863857747326078,-0.3845314721971276
intraday_ret:bot25,0.2236198462613557,0.0543406042299696,0.6039868149017849,0.2930562701914936,0.0503809266257959,-0.26800987496977724
volume_ratio:top25,0.2278127183787561,0.031588564523685456,0.2646590863653759,0.13884913556061437,0.024975518545139026,-0.38727015384490315
rv5_over_rv21:bot50,0.5164220824598184,-0.017286276572704973,0.6822107097361418,0.2790349235063351,0.05709396726119346,-0.4337983257222021
ret5d:bot33,0.31795946890286514,-0.03140162536894539,1.0022630783011086,0.45148047081881015,0.09869885044900115,-0.3838846134491859
vxx_level_z:bot33,0.2690426275331936,-0.06584000241692806,0.3748392069930971,0.05015368336699184,0.006029111170731899,-0.3246435749045068
ret5d:top33,0.32634521313766596,-0.08138362492167342,0.8984260126989861,0.3094387018010102,0.04603622784402372,-0.3235370526435346
rv21:bot33,0.40810621942697417,-0.08701940435220286,1.4270627173370467,0.653562073158806,0.08339961357220553,-0.1627844462183573
dow:top25,0.3976240391334731,-0.11112475161119464,0.2547360633146341,0.0596796920842007,0.01195940549116975,-0.4882331765900443
dow:top33,0.3976240391334731,-0.11112475161119464,0.2547360633146341,0.0596796920842007,0.01195940549116975,-0.4882331765900443
dist_sma20:top50,0.5255066387141859,-0.13054130972682346,0.7286937876080609,0.22296032815409184,0.035949533391077516,-0.3729377311202188
vxx_level_z:bot50,0.4192872117400419,-0.13758396747850482,1.108211898777429,0.23629142264860512,0.03546679378107156,-0.35089636241015987
prior_overnight:top25,0.2348008385744235,-0.14670288039089985,1.3394034572698008,0.3885283957984546,0.055591650233875314,-0.4133567288573785
rv21:top33,0.24178895877009085,-0.14765701486352753,-0.20674713595106967,-0.16897213680712553,-0.03589857923441958,-0.5192610925514569
volume_ratio:top50,0.4612159329140461,-0.17323839017445175,0.9571681597533543,0.31113050295071903,0.0700445955266935,-0.5087566244770829
rv21:top25,0.17330538085255065,-0.22643792993413261,0.13975044882114407,-0.09407539346624541,-0.018307107494391826,-0.4814980843113005
rv21:top50,0.3731656184486373,-0.2299599573264335,-0.08756923207923142,-0.17287342799682986,-0.0430987845931545,-0.635854984770035
intraday_ret:bot33,0.32983927323549966,-0.24784407328321537,0.35752583731025955,0.030953575830651732,0.006265240781533106,-0.3810735568673763
last30_ret:top50,0.5303983228511531,-0.26758158972123514,0.20221215185040434,-0.037944505724140196,-0.008193922201876407,-0.5306785961260176
intraday_ret:top50,0.48777078965758214,-0.2708979984562974,1.1710175406290417,0.35206152487395825,0.07157003716710289,-0.46286337245957554
dow:top50,0.6037735849056604,-0.2915023713555057,0.7423980476261159,0.170975810574323,0.04264558055258907,-0.6572177943944526
rv21:bot25,0.3018867924528302,-0.32841910484973397,0.7511564829474069,0.16508854345060603,0.017230599371316362,-0.1879434418967868
prior_overnight:top50,0.5164220824598184,-0.34876863076847814,1.8683463949303134,0.5727232054774963,0.11479801003260887,-0.4823468025632358
prior_overnight:top33,0.3284416491963662,-0.35760787068376515,1.5363871807802096,0.3492159668842812,0.055640533694809785,-0.4906259625830076
intraday_ret:top33,0.31446540880503143,-0.38766649969859657,0.6536615252942074,0.0631065282133182,0.01121382557133782,-0.4595043375021408
last30_ret:top33,0.3333333333333333,-0.3944504436979158,0.09185565518112536,-0.14925420486268245,-0.028010184213403014,-0.41699351217641767
close_in_range:top33,0.3270440251572327,-0.47047227635904926,0.756521787244434,0.04291892265162615,0.006390105776202119,-0.3089958917315181
close_in_range:top25,0.23829489867225717,-0.5127448138810404,1.1832548164972743,0.17500637330068364,0.0223930672531738,-0.29849909741672587
close_in_range:top50,0.4947589098532495,-0.5222413809196836,0.4315457471431937,-0.12407492196261082,-0.02419866332211894,-0.5297811896220743
rsi14:top33,0.3556953179594689,-0.5819169200232802,0.29691327972415227,-0.16528221812988,-0.02181438592581022,-0.30165858713948823
dist_sma20:top25,0.2578616352201258,-0.6041903943103981,0.029495899895588623,-0.3357067971921104,-0.03322140595035371,-0.32511253244344884
dist_sma20:top33,0.3389238294898672,-0.6844013846880924,0.31787878860098084,-0.26832660528008156,-0.03012047131142639,-0.3170446678964397
rsi14:top50,0.519916142557652,-0.6908449594492488,0.43874014915159254,-0.19802652181497274,-0.03442780671385065,-0.4913786344205936
rsi14:top25,0.2669461914744934,-0.7544482384560453,0.29108270573066286,-0.24578418884566292,-0.02799733593770849,-0.299968956184655
last30_ret:top25,0.23829489867225717,-0.9732195457602537,-0.052282428946578564,-0.501268163365395,-0.08756303998516608,-0.5668811984973666
