rule,exposure,sr_train,sr_test,sr_full,ann_full,maxdd
rsi14:bot50,0.493361285814116,0.5430177887502662,0.49797497616948877,0.5228677049855402,0.14489604544866125,-0.38767099209792255
rv21:top25,0.16701607267645002,0.5414084279403167,-0.17928442882322893,0.30418213885836703,0.06502964219961849,-0.38823250560978795
intraday_ret:top33,0.30887491264849753,0.538865071091569,0.5091433964305697,0.5256128211345228,0.09889600777525678,-0.32741194626345815
vxx_chg:top25,0.2445842068483578,0.5256171011835007,-0.40316307189119577,0.15481317403284897,0.0297327581203109,-0.3741270047935902
volume_ratio:top25,0.2487770789657582,0.5219655908208346,-0.18285914046025947,0.2456976211376697,0.05026061062453149,-0.42534307451358555
vxx_level_z:top25,0.31446540880503143,0.4929917011113812,0.31179746685790183,0.4061872211272903,0.09933660108898229,-0.4275989243588163
rsi14:bot33,0.3109713487071978,0.4856497438529057,0.396095399975763,0.4482359144425834,0.1069145622794559,-0.29323830544923846
rsi14:top50,0.506638714185884,0.4783561315514178,-0.06537361908173,0.26284921941053335,0.051523801397635134,-0.40028685744466586
dow:bot50,0.6023759608665269,0.4772652247330331,0.6995863224606206,0.5632169273933553,0.14315931856946953,-0.40066403097228265
rv5_over_rv21:top33,0.34102026554856746,0.47526651399861886,-0.20111245976461217,0.19171969389370008,0.04632240673944255,-0.4414406167220236
last30_ret:bot50,0.4807826694619147,0.460886377421572,0.13563991970686323,0.3374252158904106,0.08126208173777359,-0.34678628940270706
intraday_ret:top25,0.2194269741439553,0.4582364599250382,0.5982449324023191,0.5221664251904858,0.08890046621381946,-0.27992050626472786
volume_ratio:top50,0.5080363382250175,0.40494050155974837,-0.3115757090884228,0.12347074968510881,0.03106528049478487,-0.4927137590997329
rsi14:bot25,0.2236198462613557,0.4047292452906489,0.7457123115707187,0.5414188774039759,0.1133616459113009,-0.3003788791316374
rv21:bot50,0.6450034940600978,0.391258620943645,0.5790799635243898,0.48112964028903055,0.10150017384387353,-0.3698131102942479
vxx_level_z:top50,0.5807127882599581,0.368063458522616,0.28550320354031256,0.33295122692304957,0.0976233147538838,-0.41923346751089874
rv5_over_rv21:bot33,0.34102026554856746,0.36520165688749195,0.5565873941195519,0.4378407322202655,0.07220017020199657,-0.1938306930728786
prior_overnight:bot33,0.30957372466806427,0.36054443390035623,-0.6793286209139945,-0.07333239441268037,-0.01614569513155733,-0.5833461697804998
prior_overnight:bot25,0.21733053808525507,0.3602661467646649,-0.7740541867352203,-0.13189315707750762,-0.02650172159122668,-0.5336456730882244
rsi14:top33,0.3438155136268344,0.3461896509949133,0.12750610964842685,0.25533549948836054,0.04156332611488462,-0.30759165945688816
rv5_over_rv21:bot50,0.5080363382250175,0.3449185130500212,0.3798807319569671,0.3564910033907936,0.0731985303499288,-0.25476246481205256
prior_overnight:top50,0.48846960167714887,0.343743170176084,1.8768934291878874,0.8242170948038032,0.18074099977292854,-0.3355361123928323
rsi14:top25,0.25366876310272535,0.333764609288296,-0.21537182267053934,0.09232237555452502,0.013094731479604776,-0.2077684710947829
volume_ratio:top33,0.3214535290006988,0.33253045132354153,-0.5911549692486155,-0.03370218170556306,-0.0075780895115708955,-0.5231752019285907
dow:top50,0.6037735849056604,0.3053224808523133,-0.11758866426449632,0.1424200754798893,0.03879961967336481,-0.6393346455217561
prior_overnight:top25,0.19986023759608665,0.2836822935755587,1.083884656304909,0.46604520606299243,0.07288362532191253,-0.17957758994271988
dist_sma20:bot25,0.2389937106918239,0.2603371002348367,0.21554684141971042,0.24159631687694022,0.0521156884063925,-0.25474731516455995
close_in_range:bot50,0.5052410901467506,0.2514712171182258,0.2993902132855581,0.2655596277502539,0.06954128930768644,-0.39244456453904175
dist_sma20:top25,0.24528301886792453,0.20163751307365718,0.8967164466633862,0.4475903535306859,0.053304460097451954,-0.3179390542872895
prior_overnight:top33,0.29909154437456326,0.19595141364680274,1.5578454011166545,0.5445403934983708,0.10324120943396714,-0.24758550951716773
last30_ret:bot33,0.30957372466806427,0.1955298803910219,0.17580339851698984,0.18534567540201002,0.03911079433790326,-0.26067457705279695
rv5_over_rv21:top25,0.26834381551362685,0.19386955283699614,-0.20609426089124144,0.03021424901594872,0.006104998546493791,-0.3921917321357822
close_in_range:bot25,0.24947589098532494,0.19282459560257006,0.02321951636951254,0.1312169712343574,0.025915922622969708,-0.2846629570972282
rv5_over_rv21:bot25,0.259958071278826,0.1538920311201769,1.0003456362708119,0.47108571619449485,0.06828726491237354,-0.270395475556533
intraday_ret:bot50,0.5017470300489169,0.14074693829402835,0.052007599471062343,0.10747652567402091,0.027621693930650667,-0.509787664977298
ret5d:bot50,0.4996505939902166,0.12780312953953288,0.5838337188447871,0.31561804398745014,0.08613961437618715,-0.46368791641273477
ret5d:bot33,0.31516422082459816,0.11415610312556763,0.1506552825938536,0.1270702521312412,0.0286507381184682,-0.4039534859777678
close_in_range:bot33,0.3333333333333333,0.10879964152068443,-0.3508769110765313,-0.05548710858784852,-0.012067204171115705,-0.40536839695213234
vxx_chg:top33,0.3333333333333333,0.09811540268909326,-0.5523296826125108,-0.160682313275517,-0.0332397304365411,-0.5304359486261996
dist_sma20:bot50,0.4947589098532495,0.07170065135339498,0.12541325240511922,0.09303189545323307,0.025474098224822987,-0.41277747035719126
vxx_chg:top50,0.5408805031446541,0.03401503805585601,-0.07849716516413528,-0.012661670552809683,-0.0031504418958362133,-0.4471942588557932
intraday_ret:bot33,0.31236897274633124,-0.0007242025838371067,-0.28886822642662524,-0.09974498388460908,-0.022697324736373172,-0.4583771562818676
dist_sma20:bot33,0.31865828092243187,-0.06973720805936892,0.0970592045719749,-0.0060346719223723115,-0.0014459226179113333,-0.40523170427045896
intraday_ret:bot25,0.22082459818308875,-0.12678313653151643,-0.8475058851987368,-0.36275273675507086,-0.07613326674762652,-0.4976340483426851
last30_ret:bot25,0.21174004192872117,-0.14257209317864108,0.21386003181651814,-0.024202497852426293,-0.004627039250132508,-0.3716349840023333
ret5d:bot25,0.22501747030048916,-0.1808609818618921,0.12634568798045528,-0.06255721794705664,-0.01305721987529003,-0.4748812919814638
last30_ret:top33,0.33752620545073375,-0.2380295986149163,-0.04555711286545803,-0.15050089385519203,-0.02978372670749017,-0.48794986587289324
last30_ret:top25,0.23549965059399022,-0.5288214743226897,0.14249136732537085,-0.2198112716110033,-0.03926248213723632,-0.4634097931398964
rv21:bot33,0.5073375262054507,-0.5708368102124293,1.3260072739814213,0.40079568091407086,0.06728113153678737,-0.4730200292579667
rv21:bot25,0.4171907756813417,-0.6260930436826491,1.1413776970411762,0.3113690681825941,0.046437376148339864,-0.37037754558930513
