label,config,weeks,blown,end_wealth,total_ret_pct,cagr_pct,max_dd_pct,ann_vol_pct,worst_wk_pct,income_weeks,loss_weeks,short_prem_collected,short_realized,long_realized,put_realized,soxs_realized,long_rolls,sweep_final,interest,commissions,qa_recon,maxDD_pct,dd_peak,dd_trough,dd_recovered,longest_underwater_wks,ret_2024_pct,ret_2025_pct,ret_2026_pct,crash25_pct,crash26_pct,pct_weeks_income,med_wk_realized,MAR
B_pw1x15d60,pmcc_c18%_L75%_t150_share_repl_pw1x15%d60,131,False,405648.75,170.4,48.4,-40.4,47.3,-19.0,87,44,188184.0,-122961.0,451980.0,-68590.0,0.0,10,115894.5,0.0,4781.0,PASS,-40.4,2024-06-10,2025-03-24,2025-06-30,50,-2.2,72.4,60.4,11.7,-8.9,66.0,851.0,1.2
B_pw1x15d90,pmcc_c18%_L75%_t150_share_repl_pw1x15%d90,131,False,430882.45,187.3,52.0,-41.6,48.0,-18.9,93,38,196463.0,-133882.0,484380.0,-65349.0,0.0,10,121412.05,0.0,4266.0,PASS,-41.6,2024-07-08,2025-03-17,2025-06-23,49,-3.2,89.8,56.5,16.7,-8.5,71.0,930.0,1.25
B_pw1x15d120,pmcc_c18%_L75%_t150_share_repl_pw1x15%d120,131,False,444671.05,196.4,53.9,-41.0,47.5,-18.3,95,36,200932.0,-140655.0,504149.0,-64590.0,0.0,10,133112.5,0.0,4232.0,PASS,-41.0,2024-07-08,2025-03-17,2025-06-23,49,-1.0,92.6,55.4,16.9,-8.9,73.0,963.0,1.31
B_pw1x25d60,pmcc_c18%_L75%_t150_share_repl_pw1x25%d60,131,False,351170.95,134.1,40.2,-38.2,43.8,-17.1,89,42,170425.0,-112239.0,418577.0,-100591.0,0.0,10,118653.85,0.0,4577.0,PASS,-38.2,2024-06-10,2025-03-17,2025-06-23,53,-3.6,60.2,51.6,12.3,-8.3,68.0,885.0,1.05
B_pw1x25d90,pmcc_c18%_L75%_t150_share_repl_pw1x25%d90,131,False,392950.35,162.0,46.6,-39.8,45.8,-18.2,94,37,184341.0,-128072.0,469230.0,-94060.0,0.0,10,129206.45,0.0,4148.0,PASS,-39.8,2024-06-10,2025-03-17,2025-06-23,49,-8.2,92.0,48.6,21.6,-7.7,72.0,896.0,1.17
B_pw1x25d120,pmcc_c18%_L75%_t150_share_repl_pw1x25%d120,131,False,415152.25,176.8,49.8,-38.3,45.9,-18.0,96,35,193369.0,-133105.0,492294.0,-89830.0,0.0,10,134041.9,0.0,4206.0,PASS,-38.3,2024-06-10,2025-03-17,2025-06-16,48,-3.8,96.8,46.2,21.9,-8.2,73.0,963.0,1.3
B_pw1x35d60,pmcc_c18%_L75%_t150_share_repl_pw1x35%d60,131,False,311653.7,107.8,33.7,-33.7,42.4,-17.0,90,41,156595.0,-97562.0,382872.0,-119326.0,0.0,10,110048.65,0.0,4330.0,PASS,-33.7,2024-03-04,2025-03-17,2025-06-16,66,-5.9,49.5,47.8,15.8,-7.2,69.0,873.0,1.0
B_pw1x35d90,pmcc_c18%_L75%_t150_share_repl_pw1x35%d90,131,False,351592.65,134.4,40.2,-36.1,44.5,-17.9,94,37,172615.0,-113457.0,436069.0,-117013.0,0.0,10,120975.95,0.0,4006.0,PASS,-36.1,2024-03-04,2025-03-17,2025-06-16,52,-9.5,82.6,41.9,22.8,-7.5,72.0,880.0,1.11
B_pw1x35d120,pmcc_c18%_L75%_t150_share_repl_pw1x35%d120,131,False,368197.85,145.5,42.8,-34.2,44.8,-18.0,96,35,181697.0,-118506.0,456774.0,-116010.0,0.0,10,125348.95,0.0,4061.0,PASS,-34.2,2024-06-10,2025-03-17,2025-06-09,47,-8.3,94.8,37.4,22.5,-8.5,73.0,926.0,1.25
C_pw.5x25d90_tp2,pmcc_c18%_L75%_t150_share_repl_pw0.5x25%d90_tp2x,131,False,475340.4,216.9,58.1,-37.8,47.5,-19.3,95,36,210408.0,-148601.0,531434.0,-53300.0,0.0,10,134537.5,0.0,4194.0,PASS,-37.8,2024-07-08,2025-03-17,2025-06-23,49,3.1,93.9,58.6,16.1,-8.4,73.0,980.0,1.54
