date,seq,ret,outcome
2021-08-03,1,0.01,target
2021-08-03,2,0.01,target
2021-08-03,3,0.01,target
2021-08-24,1,-0.005239179954441897,eod
2021-10-04,1,-0.0159616919393456,eod
2021-10-05,1,0.01,target
2021-10-05,2,0.01,target
2021-10-05,3,-0.008875246499008838,eod
2021-10-06,1,0.01,target
2021-10-06,2,0.01,target
2021-10-06,3,0.01,target
2021-10-07,1,-0.02955320514207027,eod
2021-11-11,1,0.01,target
2021-11-11,2,0.01,target
2021-11-11,3,0.004235907461713984,eod
2021-11-12,1,0.01,target
2021-11-12,2,-0.004205478913650085,eod
2021-11-16,1,0.01,target
2021-11-16,2,0.01,target
2021-11-16,3,0.01,target
2021-11-17,1,0.01,target
2021-11-17,2,-0.014490894121923947,eod
2021-11-24,1,0.01,target
2021-11-24,2,0.01,target
2021-11-24,3,0.01,target
2021-11-24,4,0.01,target
2021-11-26,1,0.01,target
2021-11-26,2,-0.04,stop
2021-11-26,3,0.01,target
2021-11-26,4,0.01,target
2021-11-26,5,0.01,target
2021-11-29,1,0.01,target
2021-11-29,2,0.01,target
2021-11-30,1,-0.04,stop
2021-11-30,2,0.01,target
2021-11-30,3,-0.011943040881947642,eod
2021-12-01,1,0.01,target
2021-12-01,2,0.01,target
2021-12-01,3,-0.04,stop
2021-12-01,4,0.01,target
2021-12-01,5,-0.04,stop
2021-12-07,1,0.01,target
2021-12-07,2,0.01,target
2021-12-07,3,0.01,target
2021-12-07,4,0.002718859861716938,eod
2021-12-08,1,0.01,target
2021-12-08,2,0.01,target
2021-12-08,3,0.00258199977301099,eod
2021-12-09,1,0.01,target
2021-12-09,2,-0.04,stop
2021-12-09,3,0.01,target
2021-12-09,4,-0.022159428911362244,eod
2021-12-13,1,-0.04,stop
2021-12-13,2,0.01,target
2021-12-13,3,0.01,target
2021-12-13,4,-0.04,stop
2021-12-14,1,-0.04,stop
2021-12-14,2,0.01,target
2021-12-14,3,0.01,target
2021-12-14,4,0.01,target
2021-12-14,5,0.0006509357200976673,eod
2021-12-15,1,0.01,target
2021-12-15,2,0.01,target
2021-12-15,3,0.01,target
2021-12-15,4,0.01,target
2021-12-15,5,0.01,target
2021-12-20,1,-0.04,stop
2021-12-20,2,0.01,target
2021-12-20,3,0.01,target
2021-12-20,4,0.01,target
2021-12-20,5,0.01,target
2021-12-21,1,0.01,target
2021-12-21,2,0.01,target
2021-12-21,3,0.01,target
2021-12-21,4,0.01,target
2021-12-21,5,0.01,target
2021-12-22,1,0.01,target
2021-12-22,2,0.01,target
2021-12-23,1,0.01,target
2021-12-23,2,-0.009586776859504154,eod
2021-12-27,1,0.01,target
2021-12-28,1,0.01,target
2021-12-28,2,-0.017568321249302965,eod
2021-12-29,1,0.01,target
2021-12-29,2,-0.004914349901712911,eod
2022-01-06,1,0.01,target
2022-01-06,2,0.01,target
2022-01-06,3,0.01,target
2022-01-06,4,0.01,target
2022-01-06,5,-0.0032878871559395284,eod
2022-01-07,1,-0.04,stop
2022-01-07,2,0.01,target
2022-01-07,3,0.01,target
2022-01-07,4,0.01,target
2022-01-07,5,0.01,target
2022-01-10,1,0.01,target
2022-01-10,2,0.01,target
2022-01-10,3,0.01,target
2022-01-10,4,0.01,target
2022-01-10,5,0.01,target
2022-01-11,1,0.01,target
2022-01-11,2,0.01,target
2022-01-11,3,0.01,target
2022-01-11,4,0.01,target
2022-01-11,5,0.008190352452647653,eod
2022-01-12,1,-0.04,stop
2022-01-12,2,0.01,target
2022-01-12,3,0.01,target
2022-01-12,4,0.01,target
2022-01-12,5,-0.0017025228292834038,eod
2022-01-13,1,-0.04,stop
2022-01-13,2,-0.04,stop
2022-01-13,3,-0.01473236208872164,eod
2022-01-18,1,-0.04,stop
2022-01-18,2,-0.04,stop
2022-01-18,3,0.004134459823835979,eod
2022-01-19,1,-0.04,stop
2022-01-19,2,-0.04,stop
2022-01-19,3,0.01,target
2022-01-19,4,0.01,target
2022-01-19,5,0.01,target
2022-01-20,1,0.01,target
2022-01-20,2,0.01,target
2022-01-20,3,0.01,target
2022-01-20,4,-0.04,stop
2022-01-20,5,-0.04,stop
2022-01-26,1,0.01,target
2022-01-26,2,0.01,target
2022-01-26,3,0.01,target
2022-01-26,4,0.01,target
2022-01-26,5,0.01,target
2022-02-02,1,0.01,target
2022-02-02,2,0.01,target
2022-02-02,3,0.01,target
2022-02-02,4,0.01,target
2022-02-04,1,-0.04,stop
2022-02-04,2,0.01,target
2022-02-04,3,0.01,target
2022-02-04,4,0.01,target
2022-02-04,5,0.01,target
2022-02-07,1,0.01,target
2022-02-07,2,0.01,target
2022-02-07,3,-0.04,stop
2022-02-07,4,0.01,target
2022-02-08,1,0.01,target
2022-02-08,2,0.01,target
2022-02-08,3,0.01,target
2022-02-08,4,0.01,target
2022-02-08,5,0.01,target
2022-02-09,1,0.01,target
2022-02-09,2,0.01,target
2022-02-09,3,0.01,target
2022-02-15,1,0.01,target
2022-02-15,2,0.01,target
2022-02-15,3,0.01,target
2022-02-15,4,0.01,target
2022-02-15,5,0.0050821457172720574,eod
2022-02-16,1,0.01,target
2022-02-16,2,0.01,target
2022-02-16,3,0.01,target
2022-02-16,4,0.01,target
