dip,tgt,stop,filter,days_traded,mean_bp_day,ann_pct,win_days_pct,worst_day_pct,sharpe
3.0,1.5,2.0,orq5+gap2,382,9.6,24.2,60.0,-6.5,0.78
3.0,1.5,2.0,orq5+exc,770,5.5,14.0,61.0,-10.0,0.41
3.0,1.5,4.0,none,1122,2.0,5.0,59.0,-15.0,0.1
3.0,1.5,4.0,orq5,839,2.0,5.0,60.0,-14.5,0.12
3.0,1.5,4.0,gap2,467,7.5,19.0,59.0,-15.0,0.44
3.0,1.5,4.0,orq5+gap2,382,6.9,17.3,59.0,-12.4,0.48
3.0,1.5,4.0,orq5+exc,770,0.5,1.3,59.0,-12.7,0.03
3.0,1.5,,none,1122,2.3,5.9,59.0,-19.6,0.11
3.0,1.5,,orq5,839,-1.7,-4.2,59.0,-19.6,-0.09
3.0,1.5,,gap2,467,5.9,14.8,58.0,-15.0,0.32
3.0,1.5,,orq5+gap2,382,5.6,14.2,58.0,-15.0,0.36
3.0,1.5,,orq5+exc,770,-2.2,-5.7,59.0,-15.0,-0.13
3.0,2.0,2.0,none,1098,3.9,9.7,56.0,-10.0,0.23
3.0,2.0,2.0,orq5,817,4.8,12.2,57.0,-10.0,0.31
3.0,2.0,2.0,gap2,459,1.5,3.8,54.0,-10.0,0.1
3.0,2.0,2.0,orq5+gap2,374,2.1,5.4,54.0,-10.0,0.16
3.0,2.0,2.0,orq5+exc,750,1.8,4.6,56.0,-10.0,0.12
3.0,2.0,4.0,none,1117,-3.4,-8.5,56.0,-15.0,-0.17
3.0,2.0,4.0,orq5,837,-1.8,-4.5,57.0,-14.0,-0.1
3.0,2.0,4.0,gap2,464,-0.3,-0.8,56.0,-15.0,-0.02
3.0,2.0,4.0,orq5+gap2,380,1.5,3.8,56.0,-14.0,0.1
3.0,2.0,4.0,orq5+exc,768,-3.5,-8.7,57.0,-14.0,-0.21
3.0,2.0,,none,1122,-2.4,-6.1,56.0,-19.5,-0.12
3.0,2.0,,orq5,839,-5.3,-13.3,57.0,-19.5,-0.29
3.0,2.0,,gap2,467,-0.8,-1.9,55.0,-17.7,-0.04
3.0,2.0,,orq5+gap2,382,-0.3,-0.7,55.0,-17.7,-0.02
3.0,2.0,,orq5+exc,770,-5.2,-13.1,56.0,-17.7,-0.3
