date,sleeve,overlay,combined
2023-07-14,1177331.1432715834,-144050.66996890242,1033280.473302681
2023-07-17,1177331.1432715834,-158168.18087259267,1019162.9623989908
2023-07-18,1199857.241697872,-159960.88066988665,1039896.3610279853
2023-07-19,1181419.9926927185,-153462.34390469588,1027957.6487880226
2023-07-20,1145741.2053164986,-130157.24653987392,1015583.9587766248
2023-07-21,1175257.3273139554,-139120.74552634393,1036136.5817876115
2023-07-24,1183244.5587294612,-141137.53279829965,1042107.0259311615
2023-07-25,1183244.5587294612,-153462.34390469588,1029782.2148247652
2023-07-26,1183244.5587294612,-145843.3697661964,1037401.1889632647
2023-07-27,1183244.5587294612,-154134.60632868114,1029109.95240078
2023-07-28,1183244.5587294612,-167131.67985906266,1016112.8788703985
2023-07-31,1183244.5587294612,-170717.07945365063,1012527.4792758105
2023-08-01,1183244.5587294612,-172957.95420026814,1010286.604529193
2023-08-02,1183244.5587294612,-142706.1451209319,1040538.4136085293
2023-08-03,1183244.5587294612,-143154.3200702554,1040090.2386592057
2023-08-04,1183244.5587294612,-140241.18289965263,1043003.3758298085
2023-08-07,1192060.8907356807,-152790.08148071065,1039270.80925497
2023-08-08,1251663.9352724648,-139568.9204756674,1112095.0147967974
2023-08-09,1249803.7798019086,-121641.92250272741,1128161.8572991812
2023-08-10,1249803.7798019086,-118504.69785746292,1131299.0819444456
2023-08-11,1230039.4409585297,-99905.43746053768,1130134.003497992
2023-08-14,1230039.4409585297,-126571.84694528591,1103467.594013244
2023-08-15,1212016.1378097471,-109765.28634565466,1102250.8514640925
2023-08-16,1212016.1378097471,-90941.93847406766,1121074.1993356794
2023-08-17,1201339.9800333371,-79737.56474098019,1121602.4152923569
2023-08-18,1234665.7499170636,-85339.75160752394,1149325.9983095396
2023-08-21,1259359.064915405,-114471.1233135514,1144887.9416018536
2023-08-22,1223633.3140362145,-106179.88675106666,1117453.4272851478
2023-08-23,1248046.5835248393,-125451.40957197716,1122595.1739528622
2023-08-24,1248046.5835248393,-95423.68796730266,1152622.8955575365
2023-08-25,1323602.5719411636,-103490.83705512565,1220111.734886038
2023-08-28,1353794.3495774795,-120745.57260408041,1233048.776973399
2023-08-29,1368100.797767536,-145171.10734221115,1222929.690425325
2023-08-30,1378108.3475233577,-153014.1689553724,1225094.1785679853
2023-08-31,1367375.7379575027,-158616.35582191614,1208759.3821355866
2023-09-01,1391885.1959753544,-161529.4929925189,1230355.7029828355
2023-09-05,1391885.1959753544,-163098.10531515116,1228787.0906602032
2023-09-06,1403433.8730590325,-157944.0933979309,1245489.7796611015
2023-09-07,1403433.8730590325,-137552.13320371165,1265881.739855321
2023-09-08,1403433.8730590325,-137103.95825438818,1266329.9148046444
2023-09-11,1403433.8730590325,-140913.44532363792,1262520.4277353946
2023-09-12,1403433.8730590325,-133966.73360912365,1269467.1394499089
2023-09-13,1403433.8730590325,-141585.70774762315,1261848.1653114094
2023-09-14,1403433.8730590325,-151669.6441074019,1251764.2289516306
2023-09-15,1403433.8730590325,-118280.61038280115,1285153.2626762313
2023-09-18,1416189.6933800727,-125899.58452130067,1290290.108858772
2023-09-19,1416189.6933800727,-119740.59975741978,1296449.0936226528
2023-09-20,1416189.6933800727,-102585.72460565084,1313603.9687744218
2023-09-21,1416189.6933800727,-77400.90789347945,1338788.7854865934
2023-09-22,1416189.6933800727,-89445.82023408316,1326743.8731459896
2023-09-25,1416189.6933800727,-100030.74320006825,1316158.9501800044
