week_end,trading_days,week_ret_%,open_equity,profit,swept_to_cash,trading_equity,cash_account,total_wealth
2022-11-13,5,3.997,700275.42,27992.9,1399.64,726868.67,35650.93,762519.6
2022-11-20,4,5.34,726868.67,38813.42,1940.67,763741.42,37591.6,801333.02
2022-11-27,4,-2.512,763741.42,-19187.84,0.0,744553.59,37591.6,782145.19
2022-12-04,5,-0.609,744553.59,-4530.68,0.0,740022.9,37591.6,777614.51
2022-12-11,5,3.093,740022.9,22886.14,1144.31,761764.74,38735.91,800500.65
2022-12-18,5,0.615,761764.74,4682.42,234.12,766213.04,38970.03,805183.07
2022-12-25,5,2.075,766213.04,15897.92,794.9,781316.06,39764.93,821080.98
2023-01-01,4,0.957,781316.06,7477.28,373.86,788419.47,40138.79,828558.26
2023-01-08,4,2.575,788419.47,20302.07,1015.1,807706.44,41153.89,848860.33
2023-01-15,5,-2.108,807706.44,-17025.47,0.0,790680.97,41153.89,831834.86
2023-01-22,4,1.438,790680.97,11366.35,568.32,801479.01,41722.21,843201.22
2023-01-29,5,-1.175,801479.01,-9419.11,0.0,792059.9,41722.21,833782.11
2023-02-05,5,-1.719,792059.9,-13617.63,0.0,778442.27,41722.21,820164.48
2023-02-12,5,-0.656,778442.27,-5102.97,0.0,773339.3,41722.21,815061.51
2023-02-19,5,5.699,773339.3,44075.29,2203.76,815210.83,43925.98,859136.81
2023-02-26,4,5.108,815210.83,41643.11,2082.16,854771.79,46008.13,900779.92
2023-03-05,3,1.434,854771.79,12258.73,612.94,866417.58,46621.07,913038.65
2023-03-12,5,1.48,866417.58,12824.1,641.2,878600.47,47262.27,925862.74
2023-03-19,5,5.971,878600.47,52462.68,2623.13,928440.01,49885.41,978325.42
2023-03-26,5,1.111,928440.01,10319.42,515.97,938243.46,50401.38,988644.84
2023-04-02,5,1.375,938243.46,12902.81,645.14,950501.13,51046.52,1001547.65
2023-04-09,1,-0.488,950501.13,-4642.25,0.0,945858.88,51046.52,996905.39
2023-04-16,5,3.657,945858.88,34588.17,1729.41,978717.64,52775.93,1031493.57
2023-04-23,3,2.32,978717.64,22706.28,1135.31,1000288.61,53911.24,1054199.85
2023-04-30,0,0.0,1000288.61,0.0,0.0,1000288.61,53911.24,1054199.85
2023-05-07,1,0.428,1000288.61,4279.44,213.97,1004354.08,54125.21,1058479.29
2023-05-14,2,0.59,1004354.08,5929.69,296.48,1009987.29,54421.7,1064408.98
2023-05-21,2,-0.21,1009987.29,-2125.22,0.0,1007862.06,54421.7,1062283.76
2023-05-28,1,0.525,1007862.06,5291.49,264.57,1012888.98,54686.27,1067575.25
2023-06-04,4,-0.678,1012888.98,-6872.44,0.0,1006016.54,54686.27,1060702.81
2023-06-11,5,4.004,1006016.54,40277.7,2013.89,1044280.36,56700.16,1100980.51
2023-06-18,5,1.929,1044280.36,20148.37,1007.42,1063421.3,57707.58,1121128.88
2023-06-25,3,1.16,1063421.3,12333.61,616.68,1075138.23,58324.26,1133462.49
2023-07-02,2,1.676,1075138.23,18017.1,900.85,1092254.48,59225.11,1151479.59
2023-07-09,1,0.66,1092254.48,7211.01,360.55,1099104.94,59585.66,1158690.6
2023-07-16,0,0.0,1099104.94,0.0,0.0,1099104.94,59585.66,1158690.6
2023-07-23,4,0.019,1099104.94,212.97,10.65,1099307.25,59596.31,1158903.56
2023-07-30,1,0.496,1099307.25,5455.8,272.79,1104490.26,59869.1,1164359.36
2023-08-06,1,-0.048,1104490.26,-532.34,0.0,1103957.93,59869.1,1163827.02
2023-08-13,4,2.335,1103957.93,25780.67,1289.03,1128449.57,61158.13,1189607.7
2023-08-20,4,2.215,1128449.57,24993.26,1249.66,1152193.16,62407.8,1214600.96
2023-08-27,5,0.169,1152193.16,1951.37,97.57,1154046.97,62505.36,1216552.33
2023-09-03,5,0.882,1154046.97,10182.36,509.12,1163720.21,63014.48,1226734.69
2023-09-10,1,-0.315,1163720.21,-3662.34,0.0,1160057.87,63014.48,1223072.35
2023-09-17,0,0.0,1160057.87,0.0,0.0,1160057.87,63014.48,1223072.35
2023-09-24,1,0.023,1160057.87,263.73,13.19,1160308.41,63027.67,1223336.08
2023-10-01,1,1.362,1160308.41,15798.4,789.92,1175316.89,63817.59,1239134.48
2023-10-08,5,0.084,1175316.89,981.74,49.09,1176249.55,63866.68,1240116.22
2023-10-15,5,3.872,1176249.55,45546.4,2277.32,1219518.62,66144.0,1285662.62
2023-10-22,5,8.154,1219518.62,99436.79,4971.84,1313983.57,71115.84,1385099.41
2023-10-29,5,2.027,1313983.57,26628.56,1331.43,1339280.7,72447.26,1411727.97
2023-11-05,5,3.942,1339280.7,52796.27,2639.81,1389437.16,75087.08,1464524.24
2023-11-12,3,1.049,1389437.16,14572.21,728.61,1403280.76,75815.69,1479096.45
2023-11-19,3,3.082,1403280.76,43244.78,2162.24,1444363.3,77977.93,1522341.23
2023-11-26,0,0.0,1444363.3,0.0,0.0,1444363.3,77977.93,1522341.23
2023-12-03,0,0.0,1444363.3,0.0,0.0,1444363.3,77977.93,1522341.23
2023-12-10,0,0.0,1444363.3,0.0,0.0,1444363.3,77977.93,1522341.23
2023-12-17,4,1.1,1444363.3,15888.11,794.41,1459457.01,78772.33,1538229.34
2023-12-24,1,0.541,1459457.01,7895.19,394.76,1466957.44,79167.09,1546124.53
2023-12-31,0,0.0,1466957.44,0.0,0.0,1466957.44,79167.09,1546124.53
2024-01-07,0,0.0,1466957.44,0.0,0.0,1466957.44,79167.09,1546124.53
2024-01-14,3,0.528,1466957.44,7752.79,387.64,1474322.59,79554.73,1553877.32
2024-01-21,4,-0.222,1474322.59,-3273.75,0.0,1471048.84,79554.73,1550603.57
2024-01-28,5,3.302,1471048.84,48573.99,2428.7,1517194.13,81983.43,1599177.56
2024-02-04,4,0.949,1517194.13,14403.05,720.15,1530877.03,82703.58,1613580.61
2024-02-11,4,0.413,1530877.03,6319.95,316.0,1536880.98,83019.58,1619900.56
2024-02-18,4,2.594,1536880.98,39870.7,1993.54,1574758.14,85013.12,1659771.26
2024-02-25,3,0.955,1574758.14,15043.59,752.18,1589049.56,85765.3,1674814.85
2024-03-03,1,1.376,1589049.56,21863.03,1093.15,1609819.43,86858.45,1696677.88
2024-03-10,3,1.38,1609819.43,22221.3,1111.07,1630929.67,87969.51,1718899.18
2024-03-17,4,1.979,1630929.67,32277.24,1613.86,1661593.04,89583.37,1751176.42
2024-03-24,5,1.938,1661593.04,32204.72,1610.24,1692187.53,91193.61,1783381.14
2024-03-31,3,0.465,1692187.53,7866.93,393.35,1699661.11,91586.96,1791248.06
2024-04-07,1,1.216,1699661.11,20665.72,1033.29,1719293.54,92620.24,1811913.78
2024-04-14,5,4.558,1719293.54,78358.72,3917.94,1793734.32,96538.18,1890272.5
2024-04-21,4,0.109,1793734.32,1955.92,97.8,1795592.44,96635.97,1892228.41
2024-04-28,5,2.995,1795592.44,53774.72,2688.74,1846678.43,99324.71,1946003.14
2024-05-05,5,-1.533,1846678.43,-28309.81,0.0,1818368.61,99324.71,1917693.32
2024-05-12,3,1.011,1818368.61,18380.23,919.01,1835829.83,100243.72,1936073.55
2024-05-19,0,0.0,1835829.83,0.0,0.0,1835829.83,100243.72,1936073.55
2024-05-26,2,0.708,1835829.83,12992.19,649.61,1848172.41,100893.33,1949065.74
2024-06-02,4,-0.559,1848172.41,-10337.23,0.0,1837835.19,100893.33,1938728.52
2024-06-09,5,1.477,1837835.19,27136.17,1356.81,1863614.55,102250.14,1965864.68
2024-06-16,3,1.982,1863614.55,36945.99,1847.3,1898713.23,104097.44,2002810.67
2024-06-23,1,0.907,1898713.23,17215.95,860.8,1915068.39,104958.24,2020026.63
2024-06-30,5,-2.117,1915068.39,-40546.4,0.0,1874521.99,104958.24,1979480.23
2024-07-07,3,-2.287,1874521.99,-42865.92,0.0,1831656.07,104958.24,1936614.31
2024-07-14,2,-1.205,1831656.07,-22070.55,0.0,1809585.52,104958.24,1914543.76
2024-07-21,5,1.1,1809585.52,19912.3,995.62,1828502.21,105953.85,1934456.06
2024-07-28,4,2.254,1828502.21,41219.11,2060.96,1867660.36,108014.81,1975675.17
2024-08-04,4,-1.063,1867660.36,-19851.87,0.0,1847808.49,108014.81,1955823.3
2024-08-11,4,7.805,1847808.49,144229.38,7211.47,1984826.4,115226.28,2100052.68
2024-08-18,5,0.143,1984826.4,2843.02,142.15,1987527.27,115368.43,2102895.7
2024-08-25,5,2.352,1987527.27,46751.77,2337.59,2031941.45,117706.01,2149647.47
