exp,year,n_bars,pct_priced,n_episodes,n_drift_moved,atm_pct_stale_moved
20221202,2022,100040,15.650739704118353,6760,3432,25.289592360067203
20221209,2022,86363,16.080960596551762,5709,2760,22.374386097468832
20221216,2022,119916,21.856132626171654,11071,4836,9.454279978098192
20221223,2022,107340,14.591019191354574,6913,3419,24.739299610894943
20221230,2022,103960,15.202000769526741,7070,3373,20.110816294677697
20230106,2023,10191,32.16563634579531,843,393,0.778816199376947
20230113,2023,27018,33.80709156858391,2640,976,1.6791044776119404
20230120,2023,95274,17.72781661313685,7570,3215,12.017762975298362
20230127,2023,57196,23.043569480383244,4950,1909,9.454595791805094
20230203,2023,76709,22.47454666336414,6594,2677,13.248394447897244
20230210,2023,91245,18.328675543865415,6953,3269,16.550193208912276
20230217,2023,131377,22.194904739794637,12514,5056,5.463318884436084
20230224,2023,118658,14.845185322523555,8252,3938,22.141023108828758
20230303,2023,113602,14.699565148500907,7668,3580,21.02782619923817
20230310,2023,98987,15.466677442492449,6392,2824,22.970580223372377
20230317,2023,139435,20.806110374009396,12709,5338,8.111665281241342
20230324,2023,132483,15.93261022168882,8857,4304,26.330690826727064
20230331,2023,128533,16.073693137171,8823,4031,23.573992820103708
20230406,2023,104438,14.732185602941458,6702,2920,23.298871545374688
20230414,2023,104201,15.85781326474794,7005,2786,23.27467783083666
20230421,2023,154524,17.413476223758124,12679,4888,10.430812456099273
20230428,2023,122529,14.70019342359768,7880,2946,23.11439706556625
20230505,2023,101357,16.18635121402567,6928,2243,17.141332621890214
20230512,2023,91087,15.096556039830054,6083,1905,18.1545333984784
20230519,2023,304782,14.816163684207073,23636,9694,12.215564459802227
20230526,2023,108151,17.853741528048747,8087,2453,16.501480975165187
20230602,2023,122529,16.799288331741874,8892,3057,15.699150204171724
20230609,2023,110679,16.440336468526098,8370,3032,15.7336827060505
20230616,2023,149073,20.09619448189813,13784,4281,7.048044167743452
20230623,2023,136275,12.763162722436249,8468,3308,19.016603491538092
20230630,2023,147493,13.986426474476755,9851,3709,15.299716484406641
20230707,2023,108733,12.518738561430293,6163,2293,18.779724655819773
20230714,2023,114658,13.590852797013728,6465,2190,22.720046249458015
20230721,2023,182371,16.86836174611095,14509,4813,10.203340595497458
20230728,2023,142315,15.441801637213223,9578,3189,19.337979094076655
20230804,2023,127174,16.161322282856556,8543,2876,19.550002146936322
20230811,2023,124611,15.061270674338543,7890,2762,20.22732337864943
20230818,2023,532422,11.658984790260357,33482,13662,20.108592833629725
20230825,2023,163925,15.655940216562453,11057,4151,22.142804236723208
20230901,2023,164557,14.192042878759336,10382,4227,24.302386474152765
20230908,2023,126558,13.100712716699062,7578,2942,22.503747400996083
20230915,2023,152549,19.198421490799678,13666,4572,9.861639892283407
20230922,2023,144017,13.682412492969581,8918,3354,23.309698657888074
20230929,2023,145597,14.500298769892236,9650,3653,21.297134238310708
20231006,2023,114234,15.7046063343663,7484,2832,20.533988191650558
20231013,2023,111785,15.865277094422328,7478,2886,18.07313642756681
20231020,2023,173800,18.15650172612198,14777,5395,10.678905752976462
20231027,2023,147098,15.103536417898273,9954,4202,19.895262570915968
20231103,2023,126400,15.421677215189874,8650,3835,22.147308781869686
20231110,2023,116051,14.609955967634919,7462,3119,24.77346554966661
20231117,2023,581903,10.510858338932778,32800,13547,23.856941046756024
20231124,2023,133393,14.757146177085753,9418,3295,20.339476236663433
