bucket,,iv,rv,vrp
30d,2026-06-16,1.720425,2.2758971269834762,-0.5554721269834761
30d,2026-06-17,1.776825,2.3532627610387897,-0.5764377610387896
30d,2026-06-18,1.797425,2.271173885923556,-0.4737488859235559
30d,2026-06-22,1.803575,2.3164967798124585,-0.5129217798124586
30d,2026-06-23,1.9160750000000002,2.1153956926346265,-0.19932069263462626
30d,2026-06-24,1.91785,2.228951930851875,-0.311101930851875
30d,2026-06-25,1.81995,2.2606407784154423,-0.44069077841544235
30d,2026-06-26,1.88295,2.261628549983779,-0.37867854998377903
30d,2026-06-29,1.778375,2.323625765436336,-0.5452507654363359
60d,2024-01-04,0.7407750000000001,0.8182110099327252,-0.07743600993272515
60d,2024-01-11,0.71485,0.9336335325511055,-0.2187835325511055
60d,2024-01-18,0.74825,0.9410438821127164,-0.19279388211271642
60d,2024-01-19,0.745175,0.9060391174175861,-0.1608641174175861
60d,2024-01-22,0.7562250000000001,0.9021201082883614,-0.14589510828836127
60d,2024-01-23,0.7413500000000001,0.912546138612765,-0.17119613861276495
60d,2024-01-24,0.7729,0.9191012731587032,-0.14620127315870313
60d,2024-01-25,0.80205,0.9193245755191326,-0.11727457551913256
60d,2024-02-01,0.79425,0.884806029586029,-0.09055602958602904
60d,2024-02-15,0.8857000000000002,0.9376138962377265,-0.051913896237726354
60d,2024-02-16,0.8210500000000001,0.9374443794082684,-0.11639437940826836
60d,2024-02-20,0.8571,0.9950839447567885,-0.13798394475678855
60d,2024-02-21,0.83035,1.007414813067171,-0.17706481306717092
60d,2024-02-22,0.827725,0.9509270599749371,-0.12320205997493705
60d,2024-02-23,0.866225,0.9619861091676696,-0.09576110916766956
60d,2024-02-26,0.822275,0.9628566706003708,-0.14058167060037086
60d,2024-02-27,0.8007500000000001,0.9745028715592683,-0.17375287155926822
60d,2024-02-28,0.802525,0.9833324516032685,-0.1808074516032685
60d,2024-02-29,0.7595,0.9673301356260119,-0.20783013562601194
60d,2024-03-07,1.038575,0.9402534080695216,0.0983215919304784
60d,2024-03-08,0.9848250000000001,0.8931208754540321,0.09170412454596799
60d,2024-03-11,1.01805,0.8695459327545942,0.14850406724540566
60d,2024-03-12,0.97125,0.8651966379634266,0.10605336203657334
60d,2024-03-13,0.937175,0.8560363640628545,0.08113863593714543
60d,2024-03-14,0.9783750000000001,0.8462876824790678,0.13208731752093228
60d,2024-03-15,1.0145,0.8534121034230625,0.16108789657693745
60d,2024-03-18,0.963425,0.8583412964189463,0.10508370358105368
60d,2024-03-19,0.9055000000000001,0.865744103278602,0.03975589672139812
60d,2024-03-20,0.910775,0.8681409558548094,0.042634044145190564
60d,2024-03-21,0.8769,0.8683335732931037,0.008566426706896335
60d,2024-03-22,0.8979250000000001,0.8687883579477169,0.029136642052283168
60d,2024-03-25,0.8941250000000001,0.8614368642901251,0.032688135709874944
60d,2024-03-26,0.8719250000000001,0.8698979798931411,0.0020270201068589566
60d,2024-03-27,0.865575,0.8770095040534224,-0.01143450405342239
60d,2024-03-28,0.8369500000000001,0.8881588555448898,-0.05120885554488974
60d,2024-04-04,0.9012,0.8625869263319816,0.03861307366801836
60d,2024-04-11,0.87165,0.8937895965980269,-0.02213959659802689
60d,2024-04-18,0.90455,0.8099340488945025,0.09461595110549748
60d,2024-04-19,0.979425,0.7273663674416894,0.2520586325583106
60d,2024-04-22,0.87375,0.7659368188181356,0.10781318118186445
60d,2024-04-23,0.87715,0.7666042324230292,0.11054576757697077
60d,2024-04-24,0.8976999999999999,0.7735172961851341,0.12418270381486585
60d,2024-04-25,0.9021250000000001,0.8060001064887047,0.09612489351129538
60d,2024-04-26,0.8885000000000001,0.7997904835363416,0.08870951646365843
60d,2024-04-29,0.9045500000000001,0.7842597017818604,0.12029029821813964
60d,2024-04-30,0.9132500000000001,0.7728817919291877,0.1403682080708124
60d,2024-05-01,0.9074,0.72402361448454,0.18337638551545998
60d,2024-05-02,0.883075,0.7117229403906199,0.17135205960938016
60d,2024-05-09,0.860425,0.7086353398583877,0.15178966014161233
60d,2024-05-16,0.7641,0.7541975183518157,0.009902481648184303
60d,2024-05-17,0.832325,0.7513688391838501,0.08095616081614987
60d,2024-05-20,0.7969000000000002,0.9764973680796323,-0.1795973680796321
60d,2024-05-21,0.80625,0.9886251894110277,-0.1823751894110277
60d,2024-05-22,0.81375,0.9975844366611908,-0.18383443666119081
60d,2024-05-23,0.7550500000000001,1.0413183536326247,-0.2862683536326246
60d,2024-05-24,0.741125,1.0393682997262934,-0.2982432997262934
60d,2024-05-28,0.78,1.1130215567185955,-0.33302155671859546
60d,2024-05-29,0.785325,1.1176030985166274,-0.3322780985166274
60d,2024-05-30,0.7848,1.1168071313184937,-0.3320071313184937
60d,2024-06-06,0.79895,1.4082958833167132,-0.6093458833167131
60d,2024-06-07,0.8119,1.4120627881379963,-0.6001627881379964
60d,2024-06-10,0.795225,1.4734124853110218,-0.6781874853110218
60d,2024-06-11,0.79315,1.4912081134110002,-0.6980581134110002
60d,2024-06-12,0.778775,1.490817097442351,-0.7120420974423509
60d,2024-06-13,0.8042750000000001,1.4877941113349031,-0.6835191113349031
60d,2024-06-14,0.8208500000000001,1.5243310363259583,-0.7034810363259583
60d,2024-06-17,0.840125,1.5251637450443754,-0.6850387450443753
60d,2024-06-18,0.823275,1.539236160896579,-0.715961160896579
60d,2024-06-20,0.8739250000000001,1.5354475096696685,-0.6615225096696684
60d,2024-06-21,0.846225,1.536472962906728,-0.690247962906728
60d,2024-06-24,0.815775,1.5244975064689985,-0.7087225064689985
60d,2024-06-25,0.8071375000000001,1.5384396464871115,-0.7313021464871114
60d,2024-06-26,0.8537250000000001,1.5575246009053894,-0.7037996009053893
60d,2024-06-27,0.8115000000000001,1.5673889019842213,-0.7558889019842212
60d,2024-07-03,0.73255,1.5735193040084656,-0.8409693040084656
60d,2024-07-11,0.8566750000000001,1.6880063005079857,-0.8313313005079856
60d,2024-07-18,0.8922000000000001,1.6373691384440079,-0.7451691384440078
60d,2024-07-19,0.931975,1.623258502767221,-0.6912835027672211
60d,2024-07-22,0.885475,1.5894550676999835,-0.7039800676999834
60d,2024-07-23,0.8956999999999999,1.606170304090956,-0.7104703040909561
60d,2024-07-24,0.982175,1.5736236906812604,-0.5914486906812604
60d,2024-07-25,1.026925,1.5652741638029772,-0.5383491638029771
60d,2024-07-26,1.045325,1.5602445274304562,-0.5149195274304561
60d,2024-07-29,1.0548,1.549552417970622,-0.49475241797062197
60d,2024-07-30,1.0639750000000001,1.5418584240570872,-0.47788342405708706
60d,2024-07-31,0.99675,1.4901920427213238,-0.49344204272132375
60d,2024-08-01,1.24165,1.3632426123541763,-0.1215926123541764
60d,2024-08-08,1.15465,1.1952125716261777,-0.04056257162617771
60d,2024-08-15,1.02525,1.123272857366832,-0.09802285736683203
60d,2024-08-16,1.0032,1.1992801136644589,-0.19608011366445877
60d,2024-08-19,0.9651,1.1649853934569263,-0.19988539345692635
60d,2024-08-20,0.9805499999999999,1.1753612207811361,-0.19481122078113622
60d,2024-08-21,0.979025,1.1843816373582643,-0.20535663735826426
60d,2024-08-22,1.043625,1.1548663147678013,-0.1112413147678013
60d,2024-08-23,1.01235,1.138990679279494,-0.12664067927949385
60d,2024-08-26,1.0479500000000002,1.101066067533854,-0.053116067533853784
60d,2024-08-27,1.043025,1.111199936273525,-0.06817493627352489
60d,2024-08-28,1.087825,1.1168997652538812,-0.029074765253881196
60d,2024-08-29,0.9692750000000001,1.1167164063138062,-0.1474414063138061
60d,2024-09-05,1.0299,0.9888198171447613,0.041080182855238734
60d,2024-09-06,1.1404750000000001,0.9295294011934023,0.2109455988065978
60d,2024-09-09,1.08995,0.9307315595343227,0.15921844046567724
60d,2024-09-10,1.0954,0.9398128051971274,0.15558719480287253
60d,2024-09-11,1.07065,0.8984968941283799,0.17215310587162025
60d,2024-09-12,1.021,0.9190108334436158,0.10198916655638413
