gate,dip,stop,is_on_days,is_on_rate,is_on_sharpe,is_bp_per_on_day,is_trades_per_on_day,is_sharpe,is_maxdd,is_cagr,is_win_rate,is_worst_day,is_yrs_pos
3.34,0.005,0.015,527,0.5323232323232323,0.824484489669319,9.541774598689642,3.698292220113852,0.6014352676124494,-0.28810954461165106,0.11100145932979788,0.7316572601334017,-0.03127184518942479,3/5
2.5,0.004,0.03,742,0.7494949494949495,0.8215928369739336,9.705231402444067,3.4380053908355794,0.7111619973675255,-0.4189988484701178,0.1613148589727209,0.7977263818110545,-0.06115295220243684,3/5
3.0,0.005,0.03,625,0.6313131313131313,0.8183072187340592,10.528879881290717,3.24,0.6500609557234132,-0.3653830283214966,0.1432271105650358,0.7723456790123456,-0.060607501875468886,3/5
3.0,0.0055,0.03,625,0.6313131313131313,0.8075425744162807,10.394692559382838,3.056,0.6415177709354017,-0.3490429096445806,0.1407904016098842,0.7570680628272252,-0.060607501875468886,3/5
4.25,0.004,0.03,307,0.3101010101010101,0.8028212840405019,11.329141583645841,4.003257328990228,0.44717284392915807,-0.2927464425011628,0.07105186661280749,0.8315703824247356,-0.06115295220243684,3/5
3.0,0.003,0.0221,625,0.6313131313131313,0.8003551468228445,8.918782883438992,4.1072,0.63581340412326,-0.39472324796090474,0.12370873807350913,0.8422282820412933,-0.04480000000000013,3/5
3.74,0.003,0.03,425,0.4292929292929293,0.796848852053784,10.304713713791399,4.181176470588236,0.5220740793859361,-0.3538110178875221,0.092276763920214,0.8655036578503095,-0.06060000000000017,3/5
3.0,0.0025,0.0221,625,0.6313131313131313,0.7957218863816751,8.504614180743689,4.272,0.6321360986557497,-0.37987648112378114,0.11856661369197474,0.8636704119850187,-0.04480000000000013,3/5
3.34,0.004,0.03,527,0.5323232323232323,0.7911233923462081,10.13213312277511,3.685009487666034,0.5771282895172574,-0.3734263823944771,0.11377575710002064,0.8146240988671473,-0.06115295220243684,3/5
3.0,0.002,0.015,625,0.6313131313131313,0.784999692178619,7.122764185348587,4.5296,0.6236259276494188,-0.3529559980119251,0.10144283699527779,0.858000706464147,-0.03127184518942479,3/5
