date,atr5,or30,thr80,pos10,on,ret,n_fills,n_stops
2025-03-25,4.108286116261615,1.9086529666443048,2.3525721841271796,0.12140575079872076,False,0.0,0,0
2025-03-26,4.034514917960417,2.1239470517448864,2.3525721841271796,0.7535410764872509,False,0.0,0,0
2025-03-27,3.8369271201931854,2.4100852799406782,2.3525721841271796,0.9589743589743599,False,0.0,0,0
2025-03-28,3.6798521011525738,2.7378507871321047,2.3577926015767185,0.05681818181818175,False,0.0,0,0
2025-03-31,4.4554029073927435,3.0006743088334376,2.3577926015767185,0.6516853932584299,False,0.0,0,0
2025-04-01,5.579725947974262,2.1129466000768415,2.3577926015767185,0.42121212121212426,True,-0.015541099216534736,5,1
2025-04-02,6.050187203060956,2.937162908571046,2.3577926015767185,0.7743362831858438,True,0.008947590562658427,5,0
2025-04-03,6.332488570275991,3.422347153900214,2.3690418435415457,0.21355236139630207,False,0.0,0,0
2025-04-04,6.967420818899413,5.661140315406389,2.3801585854903453,0.36285714285714377,False,0.0,0,0
2025-04-07,8.641044256423905,7.633111480865229,2.3899167195453326,0.9359673024523163,True,-0.04368120905858141,3,2
2025-04-08,11.989107385643242,4.290651605833254,2.397138311590109,0.8860510805500983,True,-0.057720759580684,3,2
2025-04-09,14.654056164260592,5.76770087509944,2.404367551569421,0.858620689655171,True,0.03929670088279363,5,0
2025-04-10,19.883073362537285,3.0012200081333855,2.404367551569421,0.1355013550135502,False,0.0,0,0
2025-04-11,21.1527345980863,5.594042258399718,2.407502827673305,0.7708978328173366,True,0.0236580972841976,5,0
2025-04-14,20.073229178207658,1.766346451812819,2.415047280017047,0.5833333333333359,True,-0.01886018357335057,5,1
2025-04-15,15.774965438453595,3.542486686733043,2.415047280017047,0.7342047930283229,True,-0.027749823406620345,3,1
2025-04-16,12.988429167106744,2.5850553940441516,2.423725700603769,0.030395136778113847,False,0.0,0,0
2025-04-17,7.963374064351927,2.2589621869373095,2.4297548817256005,0.7971014492753619,True,0.022418191746060467,5,0
2025-04-21,6.294231722680552,1.8429752066115617,2.423725700603769,0.0,True,-0.014349751948972759,5,1
2025-04-22,5.99091305564365,2.3147377185678613,2.423725700603769,0.8021582733812961,True,0.021623741474504243,5,0
2025-04-23,6.4679251623298715,4.201365443769242,2.423725700603769,0.75,True,-0.01940332326284028,5,1
2025-04-24,7.075254750975466,1.6979239021378318,2.4297548817256005,0.9090909090909138,True,0.01706811458762797,5,0
2025-04-25,6.8115472070246295,2.3505557224391675,2.4297548817256005,0.0,True,0.014879341588643515,5,0
2025-04-28,6.462286079655955,2.449524940617586,2.4297548817256005,0.4060606060606057,False,0.0,0,0
2025-04-29,5.558761904629947,0.9525935848775776,2.4389561513348186,0.6562499999999799,True,0.015685470299188486,5,0
2025-04-30,5.1617721469567215,4.097320695574303,2.4389561513348186,0.05464480874317138,False,0.0,0,0
2025-05-01,5.527479478591499,1.8985507246376845,2.4440947370603383,0.125954198473287,True,0.013499999999999459,5,0
2025-05-02,5.096149427016222,2.4344827586206907,2.4440947370603383,0.22379603399434,True,0.0014630078789003922,4,0
2025-05-05,5.138615943832913,1.8909899888765287,2.4389561513348186,0.9227941176470559,True,0.013499999999999459,5,0
2025-05-06,5.108536665986585,1.5886524822695098,2.4389561513348186,0.5491071428571488,True,-0.006127054187616297,4,0
2025-05-07,4.854953910210615,1.4611297539149912,2.4350972381108007,0.9186602870813458,True,0.013920686850207588,5,0
