week_starting,nights,trading_pnl,swept_to_reserve,trading_equity,reserve,total,running_cagr_pct,drawdown_pct
2021-09-06,4,8547.8,2136.95,119399.54,21668.63,141068.17,75.25,0.0
2021-09-13,5,-18333.8,0.0,101065.74,21668.84,122734.58,38.25,-13.0
2021-09-20,5,-2239.31,0.0,98826.43,21669.05,120495.48,33.13,-14.58
2021-09-27,3,-11620.85,0.0,87205.58,21669.26,108874.84,13.51,-22.82
2021-10-04,3,2380.8,595.2,88991.18,22264.67,111255.85,16.72,-21.13
2021-10-11,4,14179.94,3544.98,99626.13,25809.86,125436.0,37.66,-11.08
2021-10-18,5,-5351.12,0.0,94275.01,25810.11,120085.13,28.57,-14.87
2021-10-25,5,4905.11,1226.28,97953.85,27036.64,124990.48,34.78,-11.4
2021-11-01,5,13442.97,3360.74,108036.07,30397.64,138433.71,52.84,-1.87
2021-11-08,5,10515.3,2628.82,115922.55,33026.76,148949.31,66.04,0.0
2021-11-15,5,10546.83,2636.71,123832.67,35663.78,159496.45,78.6,0.0
2021-11-22,3,-10723.94,0.0,113108.73,35664.12,148772.86,61.94,-6.72
2021-11-29,2,5011.83,1252.96,116867.6,36917.42,153785.03,66.59,-3.58
2021-12-06,4,8758.75,2189.69,123436.67,39107.47,162544.13,75.64,0.0
2021-12-13,1,1335.53,333.88,124438.31,39441.73,163880.04,75.12,0.0
2021-12-20,0,0.0,0.0,124438.31,39442.11,163880.42,73.05,0.0
2021-12-27,0,0.0,0.0,124438.31,39442.48,163880.8,71.08,0.0
2022-01-03,0,0.0,0.0,124438.31,39457.66,163895.97,69.23,0.0
2022-01-10,1,-14587.39,0.0,109850.92,39472.83,149323.76,51.96,-8.89
2022-01-17,0,0.0,0.0,109850.92,39488.01,149338.94,50.73,-8.88
2022-01-24,0,0.0,0.0,109850.92,39503.2,149354.12,49.56,-8.87
2022-01-31,0,0.0,0.0,109850.92,39518.39,149369.32,48.44,-8.86
2022-02-07,0,0.0,0.0,109850.92,39533.59,149384.52,47.38,-8.85
2022-02-14,0,0.0,0.0,109850.92,39548.8,149399.72,46.35,-8.84
2022-02-21,0,0.0,0.0,109850.92,39564.01,149414.93,45.38,-8.84
2022-02-28,0,0.0,0.0,109850.92,39579.23,149430.15,44.44,-8.83
2022-03-07,0,0.0,0.0,109850.92,39594.45,149445.37,43.54,-8.82
2022-03-14,0,0.0,0.0,109850.92,39609.68,149460.6,42.68,-8.81
2022-03-21,0,0.0,0.0,109850.92,39624.91,149475.84,41.85,-8.8
2022-03-28,0,0.0,0.0,109850.92,39640.15,149491.08,41.05,-8.79
2022-04-04,0,0.0,0.0,109850.92,39655.4,149506.32,40.28,-8.78
2022-04-11,0,0.0,0.0,109850.92,39670.65,149521.58,39.54,-8.77
2022-04-18,0,0.0,0.0,109850.92,39685.91,149536.83,38.83,-8.76
2022-04-25,1,13387.09,3346.77,119891.24,43047.94,162939.18,47.98,-0.58
2022-05-02,0,0.0,0.0,119891.24,43064.5,162955.74,47.12,-0.57
2022-05-09,0,0.0,0.0,119891.24,43081.07,162972.3,46.28,-0.56
2022-05-16,0,0.0,0.0,119891.24,43097.63,162988.87,45.48,-0.55
2022-05-23,0,0.0,0.0,119891.24,43114.21,163005.45,44.7,-0.54
2022-05-30,0,0.0,0.0,119891.24,43130.79,163022.03,43.95,-0.53
2022-06-06,0,0.0,0.0,119891.24,43147.38,163038.62,43.22,-0.52
2022-06-13,0,0.0,0.0,119891.24,43163.98,163055.22,42.52,-0.51
2022-06-20,0,0.0,0.0,119891.24,43180.58,163071.82,41.84,-0.5
2022-06-27,0,0.0,0.0,119891.24,43197.19,163088.43,41.18,-0.49
2022-07-04,0,0.0,0.0,119891.24,43213.8,163105.04,40.55,-0.48
2022-07-11,0,0.0,0.0,119891.24,43230.42,163121.66,39.93,-0.47
2022-07-18,0,0.0,0.0,119891.24,43247.05,163138.29,39.33,-0.46
2022-07-25,0,0.0,0.0,119891.24,43263.68,163154.92,38.75,-0.45
2022-08-01,5,-27445.78,0.0,92445.45,43280.32,135725.78,22.36,-17.19
2022-08-08,1,-11590.95,0.0,80854.5,43296.97,124151.47,15.15,-24.25
2022-08-15,0,0.0,0.0,80854.5,43313.62,124168.12,14.96,-24.24
2022-08-22,0,0.0,0.0,80854.5,43330.28,124184.78,14.78,-24.23
2022-08-29,0,0.0,0.0,80854.5,43346.95,124201.45,14.6,-24.22
2022-09-05,0,0.0,0.0,80854.5,43363.62,124218.12,14.42,-24.21
2022-09-12,0,0.0,0.0,80854.5,43380.3,124234.8,14.25,-24.2
2022-09-19,1,-857.43,0.0,79997.08,43396.98,123394.06,13.6,-24.71
2022-09-26,4,815.9,203.98,80609.0,43617.65,124226.65,13.9,-24.2
2022-10-03,1,14399.37,3599.84,91408.53,47234.27,138642.8,21.38,-15.41
2022-10-10,0,0.0,0.0,91408.53,47252.43,138660.96,21.12,-15.4
2022-10-17,0,0.0,0.0,91408.53,47270.61,138679.14,20.87,-15.39
2022-10-24,0,0.0,0.0,91408.53,47288.79,138697.32,20.63,-15.37
2022-10-31,0,0.0,0.0,91408.53,47306.98,138715.51,20.39,-15.36
2022-11-07,0,0.0,0.0,91408.53,47325.17,138733.7,20.16,-15.35
2022-11-14,0,0.0,0.0,91408.53,47343.37,138751.9,19.94,-15.34
2022-11-21,0,0.0,0.0,91408.53,47361.58,138770.11,19.72,-15.33
2022-11-28,0,0.0,0.0,91408.53,47379.8,138788.33,19.5,-15.32
2022-12-05,0,0.0,0.0,91408.53,47398.02,138806.55,19.29,-15.31
2022-12-12,3,11197.41,2799.35,99806.59,50215.6,150022.2,24.11,-8.46
2022-12-19,3,-15417.76,0.0,84388.83,50234.92,134623.75,16.96,-17.86
2022-12-26,4,4933.08,1233.27,88088.64,51487.51,139576.15,19.0,-14.84
2023-01-02,2,1061.49,265.37,88884.75,51802.39,140687.14,19.29,-14.16
2023-01-09,5,-7848.1,0.0,81036.66,51852.2,132888.86,15.66,-18.92
2023-01-16,2,9156.84,2289.21,87904.29,54191.27,142095.56,19.48,-13.3
2023-01-23,4,-18214.73,0.0,69689.56,54243.37,123932.93,11.37,-24.38
2023-01-30,4,-10114.37,0.0,59575.18,54295.53,113870.71,6.67,-30.52
2023-02-06,2,-1092.66,0.0,58482.53,54347.74,112830.26,6.12,-31.16
2023-02-13,0,0.0,0.0,58482.53,54400.0,112882.52,6.09,-31.13
2023-02-20,3,9687.0,2421.75,65747.77,56874.05,122621.83,10.35,-25.18
2023-02-27,5,-4819.41,0.0,60928.37,56928.74,117857.11,8.18,-28.09
2023-03-06,2,715.6,178.9,61465.07,57162.38,118627.45,8.44,-27.62
2023-03-13,5,-505.9,0.0,60959.17,57217.34,118176.51,8.17,-27.9
2023-03-20,5,7546.32,1886.58,66618.9,59158.94,125777.84,11.28,-23.26
2023-03-27,4,5084.95,1271.24,70432.62,60487.06,130919.68,13.25,-20.12
2023-04-03,3,-7267.62,0.0,63165.0,60545.22,123710.22,10.23,-24.52
2023-04-10,4,1053.43,263.36,63955.07,60866.79,124821.86,10.58,-23.84
2023-04-17,5,-6846.32,0.0,57108.75,60925.32,118034.07,7.74,-27.98
2023-04-24,4,953.4,238.35,57823.8,61222.25,119046.06,8.09,-27.36
2023-05-01,5,-4439.94,0.0,53383.87,61281.12,114664.99,6.24,-30.04
2023-05-08,5,523.74,130.94,53776.67,61470.98,115247.65,6.42,-29.68
2023-05-15,5,-461.62,0.0,53315.05,61530.09,114845.14,6.2,-29.93
2023-05-22,4,9061.78,2265.44,60111.39,63854.7,123966.08,9.71,-24.36
2023-05-29,0,0.0,0.0,60111.39,63916.09,124027.48,9.65,-24.33
2023-06-05,0,0.0,0.0,60111.39,63977.55,124088.94,9.59,-24.29
2023-06-12,0,0.0,0.0,60111.39,64039.07,124150.46,9.53,-24.25
2023-06-19,0,0.0,0.0,60111.39,64100.65,124212.03,9.47,-24.21
2023-06-26,5,2199.07,549.77,61760.69,64712.05,126472.74,10.21,-22.83
2023-07-03,3,-910.12,0.0,60850.57,64774.27,125624.84,9.83,-23.35
2023-07-10,5,11497.43,2874.36,69473.64,67710.91,137184.55,13.76,-16.3
2023-07-17,3,-994.29,0.0,68479.35,67776.02,136255.37,13.33,-16.86
2023-07-24,5,17660.36,4415.09,81724.62,72256.28,153980.9,18.92,-6.05
2023-07-31,4,-7863.05,0.0,73861.57,72325.76,146187.33,16.33,-10.8
2023-08-07,4,-13844.33,0.0,60017.24,72395.3,132412.54,11.74,-19.21
2023-08-14,4,-4111.98,0.0,55905.25,72464.91,128370.16,10.29,-21.68
2023-08-21,3,14291.28,3572.82,66623.71,76107.41,142731.12,14.86,-12.91
2023-08-28,5,-3327.6,0.0,63296.11,76180.59,139476.7,13.72,-14.9
2023-09-04,4,-6264.54,0.0,57031.57,76253.84,133285.41,11.65,-18.68
2023-09-11,4,-1886.95,0.0,55144.62,76327.16,131471.78,10.98,-19.78
2023-09-18,4,1636.53,409.13,56372.02,76809.68,133181.7,11.44,-18.74
2023-09-25,5,3561.11,890.28,59042.85,77773.82,136816.67,12.49,-16.52
2023-10-02,5,-7550.49,0.0,51492.36,77848.6,129340.96,10.06,-21.08
2023-10-09,4,3298.31,824.58,53966.09,78748.03,132714.12,11.04,-19.03
2023-10-16,3,-8686.62,0.0,45279.47,78823.75,124103.22,8.26,-24.28
2023-10-23,4,-629.6,0.0,44649.87,78899.54,123549.41,8.02,-24.62
2023-10-30,5,8943.6,2235.9,51357.57,81211.3,132568.87,10.76,-19.11
2023-11-06,5,2738.94,684.73,53411.77,81974.13,135385.9,11.52,-17.4
2023-11-13,5,6905.8,1726.45,58591.12,83779.4,142370.52,13.46,-13.13
2023-11-20,4,-2580.52,0.0,56010.6,83859.95,139870.56,12.65,-14.66
2023-11-27,5,-2503.28,0.0,53507.33,83940.59,137447.92,11.87,-16.14
2023-12-04,4,3394.29,848.57,56053.05,84869.87,140922.92,12.76,-14.02
2023-12-11,5,2022.16,505.54,57569.67,85457.02,143026.69,13.26,-12.73
2023-12-18,4,659.81,164.95,58064.52,85704.14,143768.67,13.37,-12.28
2023-12-25,4,-3673.49,0.0,54391.04,85786.55,140177.59,12.29,-14.47
2024-01-01,3,-2584.19,0.0,51806.84,85869.04,137675.88,11.52,-16.0
2024-01-08,5,-2189.6,0.0,49617.24,85951.6,135568.84,10.86,-17.28
2024-01-15,4,11329.18,2832.29,58114.12,88866.54,146980.67,13.84,-10.32
2024-01-22,4,10918.77,2729.69,66303.2,91681.69,157984.89,16.53,-3.61
2024-01-29,5,-4887.97,0.0,61415.23,91769.84,153185.07,15.23,-6.54
2024-02-05,4,4662.77,1165.69,64912.31,93023.77,157936.08,16.29,-3.64
2024-02-12,5,-6387.19,0.0,58525.12,93113.22,151638.34,14.64,-7.48
2024-02-19,3,10918.86,2729.71,66714.26,95932.47,162646.73,17.19,-0.76
2024-02-26,5,12127.41,3031.85,75809.82,99056.56,174866.38,19.86,0.0
2024-03-04,4,11304.33,2826.08,84288.06,101977.89,186265.95,22.18,0.0
2024-03-11,0,0.0,0.0,84288.06,102075.95,186364.01,22.05,0.0
2024-03-18,2,-9066.3,0.0,75221.77,102174.1,177395.86,20.01,-4.81
2024-03-25,3,2944.08,736.02,77429.83,103008.36,180438.19,20.52,-3.18
2024-04-01,4,-4296.51,0.0,73133.32,103107.41,176240.73,19.5,-5.43
2024-04-08,4,-9023.21,0.0,64110.12,103206.55,167316.66,17.45,-10.22
2024-04-15,2,-3061.18,0.0,61048.94,103305.79,164354.73,16.69,-11.81
2024-04-22,5,10367.4,2591.85,68824.49,105996.97,174821.45,18.82,-6.19
2024-04-29,3,9726.3,2431.58,76119.21,108530.46,184649.67,20.71,-0.92
2024-05-06,3,6804.51,1701.13,81222.6,110335.95,191558.54,21.94,0.0
2024-05-13,5,9158.9,2289.72,88091.77,112731.76,200823.54,23.56,0.0
2024-05-20,4,16660.9,4165.22,100587.45,117005.38,217592.83,26.43,0.0
2024-05-27,4,-1073.67,0.0,99513.78,117117.89,216631.67,26.09,-0.44
2024-06-03,4,3266.81,816.7,101963.89,118047.21,220011.09,26.5,0.0
2024-06-10,5,9939.03,2484.76,109418.16,120645.47,230063.63,28.02,0.0
2024-06-17,3,-2862.26,0.0,106555.9,120761.47,227317.37,27.39,-1.19
2024-06-24,4,1586.25,396.56,107745.59,121274.16,229019.74,27.49,-0.45
2024-07-01,4,6317.52,1579.38,112483.73,122970.15,235453.87,28.35,0.0
2024-07-08,4,16973.09,4243.27,125213.54,127331.66,252545.2,30.81,0.0
2024-07-15,2,-23414.11,0.0,101799.44,127454.09,229253.53,27.02,-9.22
2024-07-22,0,0.0,0.0,101799.44,127576.64,229376.08,26.87,-9.17
2024-07-29,0,0.0,0.0,101799.44,127699.31,229498.75,26.73,-9.13
2024-08-05,0,0.0,0.0,101799.44,127822.1,229621.54,26.58,-9.08
2024-08-12,0,0.0,0.0,101799.44,127945.01,229744.44,26.44,-9.03
2024-08-19,0,0.0,0.0,101799.44,128068.03,229867.47,26.3,-8.98
2024-08-26,0,0.0,0.0,101799.44,128191.17,229990.61,26.16,-8.93
2024-09-02,0,0.0,0.0,101799.44,128314.43,230113.87,26.02,-8.88
2024-09-09,0,0.0,0.0,101799.44,128437.81,230237.25,25.89,-8.83
2024-09-16,0,0.0,0.0,101799.44,128561.31,230360.75,25.76,-8.78
2024-09-23,0,0.0,0.0,101799.44,128684.93,230484.36,25.62,-8.74
2024-09-30,1,-4438.91,0.0,97360.53,128808.66,226169.19,24.83,-10.44
2024-10-07,5,-8776.82,0.0,88583.71,128932.52,217516.23,23.38,-13.87
2024-10-14,3,9651.43,2412.86,95822.28,131469.35,227291.63,24.71,-10.0
2024-10-21,5,3852.0,963.0,98711.29,132558.76,231270.05,25.15,-8.42
2024-10-28,4,-20989.78,0.0,77721.5,132686.22,210407.72,21.9,-16.69
2024-11-04,5,8200.48,2050.12,83871.86,134863.92,218735.78,23.04,-13.39
2024-11-11,3,-8468.33,0.0,75403.53,134993.6,210397.13,21.66,-16.69
2024-11-18,5,4625.05,1156.26,78872.31,136279.67,215151.98,22.25,-14.81
2024-11-25,3,10119.59,2529.9,86462.01,138940.6,225402.61,23.62,-10.75
2024-12-02,4,1819.74,454.94,87826.81,139529.13,227355.94,23.77,-9.97
2024-12-09,4,10804.75,2701.19,95930.38,142364.48,238294.86,25.14,-5.64
2024-12-16,3,1967.84,491.96,97406.25,142993.33,240399.59,25.29,-4.81
2024-12-23,4,-13490.73,0.0,83915.53,143130.83,227046.35,23.33,-10.1
2024-12-30,4,22753.75,5688.44,100980.84,148956.89,249937.73,26.26,-1.03
2025-01-06,3,-12878.84,0.0,88102.0,149078.63,237180.63,24.45,-6.08
2025-01-13,4,29671.62,7417.91,110355.71,156618.38,266974.09,28.09,0.0
2025-01-20,3,-4139.17,0.0,106216.54,156746.39,262962.92,27.45,-1.5
2025-01-27,0,0.0,0.0,106216.54,156874.5,263091.03,27.32,-1.45
2025-02-03,0,0.0,0.0,106216.54,157002.71,263219.25,27.19,-1.41
2025-02-10,0,0.0,0.0,106216.54,157131.03,263347.57,27.06,-1.36
2025-02-17,3,7179.52,1794.88,111601.18,159054.33,270655.51,27.77,0.0
2025-02-24,2,13446.38,3361.6,121685.96,162545.93,284231.89,29.16,0.0
2025-03-03,2,-19247.68,0.0,102438.28,162678.78,265117.06,26.84,-6.73
2025-03-10,0,0.0,0.0,102438.28,162811.73,265250.02,26.71,-6.68
2025-03-17,0,0.0,0.0,102438.28,162944.8,265383.08,26.59,-6.63
2025-03-24,0,0.0,0.0,102438.28,163077.98,265516.26,26.47,-6.58
2025-03-31,0,0.0,0.0,102438.28,163211.26,265649.54,26.35,-6.54
2025-04-07,0,0.0,0.0,102438.28,163344.66,265782.94,26.23,-6.49
2025-04-14,0,0.0,0.0,102438.28,163478.16,265916.44,26.11,-6.44
2025-04-21,0,0.0,0.0,102438.28,163611.77,266050.05,25.99,-6.4
2025-04-28,0,0.0,0.0,102438.28,163745.49,266183.77,25.87,-6.35
2025-05-05,1,40655.77,10163.94,132930.11,174043.27,306973.37,30.01,0.0
2025-05-12,0,0.0,0.0,132930.11,174185.51,307115.62,29.87,0.0
2025-05-19,2,-6522.9,0.0,126407.21,174327.88,300735.08,29.09,-2.08
2025-05-26,2,18908.07,4727.02,140588.26,179197.37,319785.63,30.79,0.0
2025-06-02,5,30442.4,7610.6,163420.06,186954.43,350374.49,33.4,0.0
2025-06-09,5,-5899.24,0.0,157520.81,187107.23,344628.04,32.73,-1.64
2025-06-16,3,7276.02,1819.01,162977.83,189079.16,352056.99,33.21,0.0
2025-06-23,5,37505.32,9376.33,191106.82,198610.03,389716.85,36.15,0.0
2025-06-30,4,-18262.03,0.0,172844.79,198772.35,371617.14,34.52,-4.64
2025-07-07,5,6652.82,1663.21,177834.41,200598.02,378432.42,34.89,-2.9
2025-07-14,5,17582.8,4395.7,191021.51,205157.67,396179.17,36.11,0.0
2025-07-21,5,-11540.42,0.0,179481.09,205325.34,384806.43,35.05,-2.87
2025-07-28,4,9887.28,2471.82,186896.55,207964.98,394861.52,35.65,-0.33
2025-08-04,5,23133.06,5783.26,204246.34,213918.21,418164.55,37.21,0.0
2025-08-11,4,-7492.07,0.0,196754.27,214093.05,410847.32,36.49,-1.75
2025-08-18,4,-2898.19,0.0,193856.08,214268.03,408124.11,36.12,-2.4
2025-08-25,4,-13703.16,0.0,180152.92,214443.15,394596.07,34.94,-5.64
2025-09-01,4,17776.09,4444.02,193484.99,219062.44,412547.43,36.09,-1.34
2025-09-08,5,27479.62,6869.91,214094.7,226111.39,440206.09,37.83,0.0
2025-09-15,5,35520.67,8880.17,240735.2,235176.36,475911.56,39.99,0.0
2025-09-22,5,-11455.62,0.0,229279.59,235368.57,464648.16,39.08,-2.37
2025-09-29,5,82062.14,20515.54,290826.19,256076.47,546902.67,43.81,0.0
2025-10-06,3,15134.16,3783.54,302176.81,260069.31,562246.12,44.45,0.0
2025-10-13,0,0.0,0.0,302176.81,260281.86,562458.68,44.24,0.0
2025-10-20,0,0.0,0.0,302176.81,260494.59,562671.41,44.04,0.0
2025-10-27,0,0.0,0.0,302176.81,260707.5,562884.31,43.84,0.0
2025-11-03,0,0.0,0.0,302176.81,260920.58,563097.39,43.64,0.0
2025-11-10,3,-50693.34,0.0,251483.47,261133.83,512617.3,40.65,-8.96
2025-11-17,1,-21030.63,0.0,230452.85,261347.25,491800.1,39.26,-12.66
2025-11-24,0,0.0,0.0,230452.85,261560.86,492013.7,39.08,-12.62
2025-12-01,0,0.0,0.0,230452.85,261774.63,492227.48,38.92,-12.59
2025-12-08,2,-31715.48,0.0,198737.37,261988.58,460725.95,36.86,-18.18
2025-12-15,1,25187.74,6296.93,217628.17,268499.64,486127.81,38.21,-13.67
2025-12-22,4,-13504.81,0.0,204123.36,268719.09,472842.45,37.25,-16.03
2025-12-29,3,31429.98,7857.49,227695.84,276796.21,504492.05,38.9,-10.41
2026-01-05,3,-3188.42,0.0,224507.42,277009.13,501516.55,38.56,-10.94
2026-01-12,3,4421.02,1105.26,227823.19,278327.47,506150.66,38.64,-10.11
2026-01-19,3,36548.89,9137.22,255234.85,287678.79,542913.64,40.43,-3.58
2026-01-26,4,28601.52,7150.38,276685.99,295050.46,571736.45,41.7,0.0
2026-02-02,2,47464.89,11866.22,312284.66,307143.64,619428.31,43.79,0.0
2026-02-09,0,0.0,0.0,312284.66,307379.91,619664.57,43.6,0.0
2026-02-16,0,0.0,0.0,312284.66,307616.36,619901.02,43.42,0.0
2026-02-23,0,0.0,0.0,312284.66,307852.98,620137.65,43.23,0.0
2026-03-02,2,-115492.02,0.0,196792.65,308089.79,504882.44,37.38,-18.59
2026-03-09,2,32936.0,8234.0,221494.65,316560.79,538055.44,38.94,-13.24
2026-03-16,0,0.0,0.0,221494.65,316804.29,538298.94,38.78,-13.2
2026-03-23,0,0.0,0.0,221494.65,317047.99,538542.64,38.62,-13.16
2026-03-30,0,0.0,0.0,221494.65,317291.87,538786.52,38.47,-13.12
2026-04-06,0,0.0,0.0,221494.65,317535.94,539030.59,38.31,-13.08
2026-04-13,0,0.0,0.0,221494.65,317780.2,539274.85,38.16,-13.04
2026-04-20,0,0.0,0.0,221494.65,318024.65,539519.3,38.01,-13.0
2026-04-27,3,14142.41,3535.6,232101.46,321804.89,553906.34,38.54,-10.68
2026-05-04,3,61850.88,15462.72,278489.62,337515.15,616004.77,41.19,-0.67
2026-05-11,0,0.0,0.0,278489.62,337774.78,616264.39,41.03,-0.62
2026-05-18,0,0.0,0.0,278489.62,338034.6,616524.22,40.87,-0.58
2026-05-25,0,0.0,0.0,278489.62,338294.63,616784.25,40.7,-0.54
2026-06-01,0,0.0,0.0,278489.62,338554.86,617044.47,40.54,-0.5
2026-06-08,0,0.0,0.0,278489.62,338815.28,617304.9,40.38,-0.46
2026-06-15,0,0.0,0.0,278489.62,339075.91,617565.53,40.22,-0.41
2026-06-22,0,0.0,0.0,278489.62,339336.74,617826.35,40.07,-0.37
2026-06-29,0,0.0,0.0,278489.62,339597.77,618087.38,39.91,-0.33
2026-07-06,0,0.0,0.0,278489.62,339858.99,618348.61,39.76,-0.29
2026-07-13,0,0.0,0.0,278489.62,340120.42,618610.04,39.6,-0.25
2026-07-20,0,0.0,0.0,278489.62,340382.06,618871.67,39.45,-0.2
2026-07-27,0,0.0,0.0,278489.62,340643.89,619133.51,39.3,-0.16
