date,move_by_1545_pct,move_to_close_pct,overnight_pct
2023-12-26,4.9499,4.044,1.2438
2023-12-27,-1.1057,-0.6143,0.7419
2023-12-28,-0.5523,-1.2274,-0.1241
2023-12-29,-1.9267,-2.4239,-4.8089
2024-01-02,-8.1967,-6.2897,-5.1712
2024-01-03,-1.5043,-1.4291,-4.8762
2024-01-04,3.5242,2.1626,0.2737
2024-01-05,0.8967,1.1306,2.1597
2024-01-08,7.0593,7.4745,-3.236
2024-01-09,2.7626,3.4533,0.7741
2024-01-10,-2.2696,-1.6411,0.213
2024-01-11,0.3542,0.8147,0.4216
2024-01-12,-1.6795,-1.7845,0.1068
2024-01-16,3.2705,3.9104,-2.8092
2024-01-17,-0.3877,0.1762,7.9845
2024-01-18,1.5635,1.5961,3.9436
2024-01-19,7.8038,7.6496,2.3523
2024-01-22,-0.9809,-1.2052,-0.2552
2024-01-23,1.7629,2.1041,3.2851
2024-01-24,1.6173,1.0512,5.5585
2024-01-25,-6.0506,-6.0,-5.8728
2024-01-26,-3.0052,-2.6617,0.6469
2024-01-29,1.636,2.5124,-1.3984
2024-01-30,-3.0101,-3.0101,-4.8017
2024-01-31,0.5013,0.4386,0.5607
2024-02-01,1.1152,0.5266,-0.3082
2024-02-02,4.1422,4.1113,2.6449
2024-02-05,1.2739,1.6503,0.7692
2024-02-06,-5.598,-4.354,1.7736
2024-02-07,2.8173,2.7592,1.0747
2024-02-08,4.2529,3.9731,1.9381
2024-02-09,3.6705,3.9081,0.2289
2024-02-12,-0.4567,-0.6597,-8.7867
2024-02-13,2.2403,2.9404,3.5559
2024-02-14,2.6999,2.7785,2.2495
2024-02-15,-2.175,-2.375,1.7898
2024-02-16,-3.3409,-3.7428,-2.8437
2024-02-20,-2.7121,-2.2556,-3.5969
2024-02-21,1.7659,2.9336,11.9258
2024-02-22,2.9419,2.4969,1.7383
2024-02-23,-4.7224,-4.9597,2.6139
2024-02-26,0.5337,0.0243,1.5773
2024-02-27,-1.4572,-1.8634,-3.3325
2024-02-28,0.2265,0.0755,3.4925
2024-02-29,3.6902,3.9087,3.6415
2024-03-01,8.4685,8.8739,3.4347
2024-03-04,0.5001,-0.4601,-3.5363
2024-03-05,-3.895,-2.437,6.2553
2024-03-06,0.6028,0.8841,3.8232
2024-03-07,6.2716,6.099,1.1208
2024-03-08,-11.6017,-12.71,-4.1062
2024-03-11,-0.1278,-0.49,3.6134
2024-03-12,1.3,2.4763,-3.4086
2024-03-13,-4.5103,-4.051,-1.0851
2024-03-14,-5.3971,-4.4976,-3.9513
2024-03-15,2.7984,2.0569,4.5859
2024-03-18,-3.6913,-4.9664,-4.3018
2024-03-19,0.7615,1.5475,0.4104
2024-03-20,3.8471,4.4722,9.7235
2024-03-21,-2.037,-2.7929,-1.3604
2024-03-22,1.5543,1.5981,-4.1568
2024-03-25,4.3146,3.0787,2.0484
2024-03-26,-3.3739,-4.0572,2.8203
2024-03-27,0.0648,0.4968,-0.4086
2024-03-28,0.0432,0.4751,0.4298
2024-04-01,2.6749,2.8033,-4.6051
2024-04-02,0.1747,0.1311,-3.4874
2024-04-03,3.8392,4.336,4.1567
2024-04-04,-11.4529,-12.2012,0.7789
2024-04-05,1.897,2.3653,1.9945
2024-04-08,-0.944,-1.0789,3.1136
2024-04-09,-1.3665,0.1102,-4.9791
2024-04-10,-0.0464,-0.255,1.4388
2024-04-11,4.8501,4.8044,-5.393
2024-04-12,-3.6926,-4.5465,3.5413
2024-04-15,-8.0968,-7.5151,-0.0754
2024-04-16,3.0189,1.9623,0.148
2024-04-17,-8.399,-9.2611,-2.7793
2024-04-18,-2.4979,-3.275,-2.664
2024-04-19,-10.0353,-9.6822,2.5982
2024-04-22,1.6461,1.836,2.2763
2024-04-23,4.4207,4.1463,8.2087
2024-04-24,-4.0098,-3.793,-0.5917
2024-04-25,6.3492,6.1791,-0.2406
2024-04-26,6.5648,6.5113,-0.5025
2024-04-29,1.6919,2.6515,-1.3051
2024-04-30,-2.5449,-4.8902,-5.5003
2024-05-01,-1.9956,-5.0166,4.5388
2024-05-02,0.8906,1.7256,6.2826
2024-05-03,0.3098,0.5937,2.5148
2024-05-06,2.7034,3.5795,0.5569
2024-05-07,-2.3838,-2.9617,-3.2458
2024-05-08,3.2522,3.4571,0.0495
2024-05-09,-1.3109,-1.2367,2.9029
2024-05-10,-0.6809,-0.2432,1.3892
2024-05-13,-0.7933,-0.7212,-0.2181
2024-05-14,4.8082,5.1724,3.3788
2024-05-15,4.4997,5.2384,-0.0851
2024-05-16,-0.9157,-1.5119,1.6861
2024-05-17,-3.3163,-3.4226,1.2335
2024-05-20,5.2219,5.3525,-3.5233
2024-05-21,2.8357,2.9431,2.6469
2024-05-22,-0.3452,0.6294,7.5739
2024-05-23,-8.4149,-8.0949,2.479
2024-05-24,2.7389,3.0388,3.6936
2024-05-28,0.2625,1.5561,-5.2924
2024-05-29,0.4494,-0.6448,-0.3138
2024-05-30,-2.4006,-2.0464,0.6
2024-05-31,-5.0298,-3.4791,4.5688
2024-06-03,-5.7075,-4.1921,-0.2675
2024-06-04,-2.6414,-1.8159,5.1271
2024-06-05,6.2962,7.4955,0.5045
2024-06-06,-2.5841,-2.4726,-0.5332
2024-06-07,-0.651,-0.6127,-2.6027
2024-06-10,7.1655,7.1259,-1.0565
2024-06-11,1.199,1.5924,5.6858
2024-06-12,0.3668,2.6201,2.299
2024-06-13,1.1487,1.1154,-3.1384
2024-06-14,1.6115,1.8321,1.6473
2024-06-17,2.9465,2.7991,1.1967
2024-06-18,2.3336,2.7909,0.4905
2024-06-20,-6.8182,-8.5876,-2.6658
2024-06-21,-0.291,-0.6847,-3.0069
2024-06-24,-3.8795,-5.9167,1.8978
2024-06-25,1.6043,2.01,-0.2712
2024-06-26,-1.9946,-0.7978,-0.8215
2024-06-27,-0.8651,-0.8651,1.9888
2024-06-28,0.565,0.8748,0.0
2024-07-01,-1.409,0.1084,-1.8064
2024-07-02,5.39,6.1258,0.8681
2024-07-05,-1.0831,-1.6974,2.3845
2024-07-08,2.6341,3.3408,1.2751
2024-07-09,-1.8118,-1.4893,2.5525
2024-07-10,4.1281,4.1736,2.0703
2024-07-11,-10.0129,-11.7555,1.3712
2024-07-12,2.6575,1.9733,1.5796
2024-07-15,-1.2471,-1.1393,1.372
