week_starting,nights,cash_pnl,equity,week_pct,running_cagr_pct,drawdown_pct
2022-01-31,0,0.0,111477.36,0.0,11.29,-2.93
2022-02-07,0,0.0,111477.36,0.0,11.07,-2.93
2022-02-14,0,0.0,111477.36,0.0,10.86,-2.93
2022-02-21,0,0.0,111477.36,0.0,10.65,-2.93
2022-02-28,0,0.0,111477.36,0.0,10.46,-2.93
2022-03-07,0,0.0,111477.36,0.0,10.27,-2.93
2022-03-14,0,0.0,111477.36,0.0,10.09,-2.93
2022-03-21,0,0.0,111477.36,0.0,9.91,-2.93
2022-03-28,0,0.0,111477.36,0.0,9.74,-2.93
2022-04-04,0,0.0,111477.36,0.0,9.58,-2.93
2022-04-11,0,0.0,111477.36,0.0,9.42,-2.93
2022-04-18,0,0.0,111477.36,0.0,9.26,-2.93
2022-04-25,1,3400.9,114878.27,3.051,11.78,0.0
2022-05-02,0,0.0,114878.27,0.0,11.59,0.0
2022-05-09,0,0.0,114878.27,0.0,11.41,0.0
2022-05-16,0,0.0,114878.27,0.0,11.23,0.0
2022-05-23,0,0.0,114878.27,0.0,11.06,0.0
2022-05-30,0,0.0,114878.27,0.0,10.89,0.0
2022-06-06,0,0.0,114878.27,0.0,10.73,0.0
2022-06-13,0,0.0,114878.27,0.0,10.57,0.0
2022-06-20,0,0.0,114878.27,0.0,10.42,0.0
2022-06-27,0,0.0,114878.27,0.0,10.27,0.0
2022-07-04,0,0.0,114878.27,0.0,10.13,0.0
2022-07-11,0,0.0,114878.27,0.0,9.99,0.0
2022-07-18,0,0.0,114878.27,0.0,9.85,0.0
2022-07-25,0,0.0,114878.27,0.0,9.72,0.0
2022-08-01,5,-6969.17,107909.1,-6.067,5.16,-6.07
2022-08-08,1,-3378.02,104531.08,-3.13,2.93,-9.01
2022-08-15,0,0.0,104531.08,0.0,2.9,-9.01
2022-08-22,0,0.0,104531.08,0.0,2.86,-9.01
2022-08-29,0,0.0,104531.08,0.0,2.83,-9.01
2022-09-05,0,0.0,104531.08,0.0,2.79,-9.01
2022-09-12,0,0.0,104531.08,0.0,2.76,-9.01
2022-09-19,1,-272.83,104258.25,-0.261,2.56,-9.24
2022-09-26,3,-2151.63,102106.62,-2.064,1.26,-11.12
2022-10-03,1,4564.08,106670.7,4.47,3.9,-7.14
2022-10-10,0,0.0,106670.7,0.0,3.86,-7.14
2022-10-17,0,0.0,106670.7,0.0,3.81,-7.14
2022-10-24,0,0.0,106670.7,0.0,3.77,-7.14
2022-10-31,0,0.0,106670.7,0.0,3.73,-7.14
2022-11-07,0,0.0,106670.7,0.0,3.69,-7.14
2022-11-14,0,0.0,106670.7,0.0,3.65,-7.14
2022-11-21,0,0.0,106670.7,0.0,3.61,-7.14
2022-11-28,0,0.0,106670.7,0.0,3.57,-7.14
2022-12-05,0,0.0,106670.7,0.0,3.53,-7.14
2022-12-12,2,7137.09,113807.79,6.691,7.13,-0.93
2022-12-19,2,-2171.6,111636.19,-1.908,5.97,-2.82
2022-12-26,3,2849.57,114485.76,2.553,7.31,-0.34
2023-01-02,2,465.3,114951.06,0.406,7.46,0.0
2023-01-09,5,-2523.93,112427.13,-2.196,6.18,-2.2
2023-01-16,2,3121.73,115548.86,2.777,7.6,0.0
2023-01-23,4,-6160.47,109388.39,-5.331,4.61,-5.33
2023-01-30,4,-3863.71,105524.68,-3.532,2.71,-8.68
2023-02-06,2,-463.65,105061.03,-0.439,2.46,-9.08
2023-02-13,0,0.0,105061.03,0.0,2.44,-9.08
2023-02-20,3,4672.51,109733.54,4.447,4.59,-5.03
2023-02-27,5,-1940.97,107792.57,-1.769,3.66,-6.71
2023-03-06,1,-317.01,107475.57,-0.294,3.48,-6.99
2023-03-13,5,-10.26,107465.31,-0.01,3.44,-7.0
2023-03-20,4,2692.87,110158.18,2.506,4.61,-4.67
2023-03-27,4,2238.65,112396.84,2.032,5.54,-2.73
2023-04-03,3,-2934.68,109462.16,-2.611,4.22,-5.27
2023-04-10,3,-972.96,108489.2,-0.889,3.77,-6.11
2023-04-17,5,-2875.85,105613.35,-2.651,2.49,-8.6
2023-04-24,4,485.89,106099.24,0.46,2.68,-8.18
2023-05-01,5,-2043.65,104055.59,-1.926,1.77,-9.95
2023-05-08,5,389.05,104444.64,0.374,1.93,-9.61
2023-05-15,5,-134.79,104309.85,-0.129,1.85,-9.73
2023-05-22,4,5044.59,109354.45,4.836,3.93,-5.36
2023-05-29,0,0.0,109354.45,0.0,3.9,-5.36
2023-06-05,0,0.0,109354.45,0.0,3.87,-5.36
2023-06-12,0,0.0,109354.45,0.0,3.83,-5.36
2023-06-19,0,0.0,109354.45,0.0,3.8,-5.36
2023-06-26,5,1186.04,110540.49,1.085,4.24,-4.33
2023-07-03,3,-374.43,110166.06,-0.339,4.06,-4.66
2023-07-10,4,5006.85,115172.91,4.545,5.93,-0.33
2023-07-17,3,-392.16,114780.75,-0.34,5.73,-0.66
2023-07-24,5,7271.09,122051.84,6.335,8.33,0.0
2023-07-31,4,-2914.19,119137.66,-2.388,7.22,-2.39
2023-08-07,2,-2830.52,116307.14,-2.376,6.15,-4.71
2023-08-14,2,160.97,116468.1,0.138,6.16,-4.57
2023-08-21,3,7051.32,123519.43,6.054,8.57,0.0
2023-08-28,5,-1502.58,122016.84,-1.216,7.99,-1.22
2023-09-04,4,-2829.51,119187.33,-2.319,6.97,-3.51
2023-09-11,3,360.87,119548.2,0.303,7.04,-3.22
2023-09-18,4,951.11,120499.31,0.796,7.31,-2.45
2023-09-25,5,2022.6,122521.9,1.679,7.92,-0.81
2023-10-02,4,-4895.17,117626.73,-3.995,6.24,-4.77
2023-10-09,4,1871.78,119498.52,1.591,6.81,-3.26
2023-10-16,3,-4815.76,114682.75,-4.03,5.16,-7.15
2023-10-23,4,-213.94,114468.81,-0.187,5.05,-7.33
2023-10-30,5,5547.7,120016.51,4.846,6.83,-2.84
2023-11-06,4,-532.33,119484.18,-0.444,6.62,-3.27
2023-11-13,5,3978.4,123462.58,3.33,7.82,-0.05
2023-11-20,3,-2386.13,121076.45,-1.933,7.02,-1.98
2023-11-27,5,-1200.15,119876.3,-0.991,6.6,-2.95
2023-12-04,4,2024.14,121900.44,1.689,7.18,-1.31
2023-12-11,5,1149.38,123049.81,0.943,7.48,-0.38
2023-12-18,4,401.16,123450.98,0.326,7.55,-0.06
2023-12-25,4,-1855.96,121595.02,-1.503,6.94,-1.56
2024-01-01,3,-1324.76,120270.26,-1.089,6.5,-2.63
2024-01-08,5,-1209.65,119060.61,-1.006,6.09,-3.61
2024-01-15,4,6700.69,125761.3,5.628,8.02,0.0
2024-01-22,4,5734.04,131495.33,4.559,9.59,0.0
2024-01-29,4,850.35,132345.69,0.647,9.76,0.0
2024-02-05,4,2490.39,134836.08,1.882,10.37,0.0
2024-02-12,4,-925.98,133910.09,-0.687,10.06,-0.69
2024-02-19,3,6572.12,140482.21,4.908,11.72,0.0
2024-02-26,5,6291.05,146773.26,4.478,13.24,0.0
2024-03-04,4,5575.8,152349.07,3.799,14.52,0.0
2024-03-11,0,0.0,152349.07,0.0,14.43,0.0
2024-03-18,2,-4148.17,148200.9,-2.723,13.33,-2.72
2024-03-25,3,1473.12,149674.02,0.994,13.6,-1.76
2024-04-01,4,-1788.81,147885.21,-1.195,13.09,-2.93
2024-04-08,4,-4378.77,143506.44,-2.961,11.95,-5.8
2024-04-15,1,109.58,143616.02,0.076,11.9,-5.73
2024-04-22,4,6618.2,150234.21,4.608,13.39,-1.39
2024-04-29,3,5301.83,155536.05,3.529,14.52,0.0
2024-05-06,3,3445.31,158981.35,2.215,15.2,0.0
2024-05-13,4,3487.51,162468.86,2.194,15.86,0.0
2024-05-20,4,7730.64,170199.51,4.758,17.4,0.0
2024-05-27,3,-3932.16,166267.35,-2.31,16.47,-2.31
2024-06-03,4,1577.1,167844.44,0.949,16.7,-1.38
2024-06-10,5,4287.4,172131.85,2.554,17.47,0.0
2024-06-17,3,-1057.89,171073.96,-0.615,17.15,-0.61
2024-06-24,4,686.8,171760.76,0.401,17.18,-0.22
2024-07-01,4,2578.57,174339.33,1.501,17.59,0.0
2024-07-08,4,6356.49,180695.83,3.646,18.71,0.0
2024-07-15,2,-8260.1,172435.73,-4.571,17.01,-4.57
2024-07-22,0,0.0,172435.73,0.0,16.91,-4.57
2024-07-29,0,0.0,172435.73,0.0,16.81,-4.57
2024-08-05,0,0.0,172435.73,0.0,16.71,-4.57
2024-08-12,0,0.0,172435.73,0.0,16.61,-4.57
2024-08-19,0,0.0,172435.73,0.0,16.51,-4.57
2024-08-26,0,0.0,172435.73,0.0,16.42,-4.57
2024-09-02,0,0.0,172435.73,0.0,16.33,-4.57
2024-09-09,0,0.0,172435.73,0.0,16.23,-4.57
2024-09-16,0,0.0,172435.73,0.0,16.14,-4.57
2024-09-23,0,0.0,172435.73,0.0,16.05,-4.57
2024-09-30,1,-1872.65,170563.07,-1.086,15.62,-5.61
2024-10-07,5,-3787.28,166775.8,-2.22,14.83,-7.7
2024-10-14,2,-1743.09,165032.7,-1.045,14.42,-8.67
2024-10-21,5,1774.21,166806.92,1.075,14.67,-7.69
2024-10-28,3,-6967.87,159839.04,-4.177,13.3,-11.54
2024-11-04,5,4497.09,164336.13,2.814,14.06,-9.05
2024-11-11,1,-2195.82,162140.31,-1.336,13.58,-10.27
2024-11-18,5,2646.2,164786.51,1.632,13.99,-8.8
2024-11-25,3,5148.88,169935.39,3.125,14.84,-5.95
2024-12-02,4,1201.43,171136.82,0.707,14.97,-5.29
2024-12-09,4,5401.31,176538.14,3.156,15.81,-2.3
2024-12-16,3,1030.01,177568.14,0.583,15.9,-1.73
2024-12-23,4,-6217.37,171350.77,-3.501,14.77,-5.17
