leg,return_on_capital_pct,return_on_equity_pct
SOXL,-0.4442,-0.4442
SOXL,-2.6835,-2.6835
SOXL,-1.3731,-1.3731
SOXL,5.5631,5.5631
SOXL,2.241,2.241
SOXL,-2.9528,-2.9528
SOXL,1.76,1.76
SOXL,0.9815,0.9815
SOXL,0.5618,0.5618
SOXL,-2.5254,-2.5254
SOXL,-2.7118,-2.7118
SOXL,2.103,2.103
SOXL,-0.3131,-0.3131
SOXL,-0.7004,-0.7004
SOXL,1.8694,1.8694
SOXL,0.0123,0.0123
SOXL,-1.9185,-1.9185
SOXL,0.7049,0.7049
SOXL,1.9052,1.9052
SOXL,2.3787,2.3787
SOXL,1.2221,1.2221
SOXL,2.6906,2.6906
SOXL,1.9901,1.9901
SOXL,1.71,1.71
SOXL,1.3519,1.3519
SOXL,1.2557,1.2557
SOXL,-10.3058,-10.3058
SOXL,5.3434,5.3434
XLU,0.169,0.4225
XLU,0.511,1.2775
XLU,-0.2146,-0.5364
XLU,0.6948,1.7371
XLU,0.4477,1.1193
XLU,0.778,1.9449
XLU,0.3628,0.9069
XLU,-0.2124,-0.5311
XLU,1.3889,3.4723
XLU,0.1757,0.4393
XLU,1.252,3.1299
XLU,0.5089,1.2722
XLU,0.3709,0.9272
XLU,0.4038,1.0095
XLU,-0.2458,-0.6145
XLU,-0.5967,-1.4919
XLU,0.0913,0.2284
XLU,0.0774,0.1936
XLU,-0.0166,-0.0415
XLU,-0.03,-0.0749
XLU,0.0896,0.2241
XLU,0.3291,0.8227
XLU,0.3281,0.8203
XLU,-0.2274,-0.5684
XLU,0.2888,0.722
XLU,0.3154,0.7884
XLU,0.1683,0.4207
XLU,0.0096,0.024
XLU,0.4691,1.1727
XLU,0.7383,1.8458
XLU,0.2052,0.513
XLU,0.4181,1.0453
XLU,0.166,0.4149
XLU,-0.0036,-0.009
XLU,0.2034,0.5084
XLU,0.3191,0.7978
XLU,0.3017,0.7543
XLU,0.0339,0.0849
XLU,-0.1936,-0.4841
XLU,-0.3352,-0.8379
XLU,1.2779,3.1948
XLU,-0.079,-0.1976
XLU,-0.5768,-1.442
XLU,0.5351,1.3376
XLU,-0.2037,-0.5092
XLU,0.3978,0.9945
XLU,0.1824,0.4559
XLU,-0.128,-0.32
XLU,-0.7903,-1.9757
XLU,0.5358,1.3394
XLU,-0.9498,-2.3745
XLU,-0.3487,-0.8717
SOXL,0.1592,0.1592
SOXL,-0.4862,-0.4862
SOXL,-3.8659,-3.8659
SOXL,-2.2039,-2.2039
SOXL,2.0382,2.0382
SOXL,-0.8142,-0.8142
SOXL,3.7076,3.7076
SOXL,7.8897,7.8897
SOXL,2.8895,2.8895
SOXL,-1.253,-1.253
SOXL,-2.028,-2.028
SOXL,-0.7267,-0.7267
SOXL,2.3928,2.3928
SOXL,2.6488,2.6488
SOXL,-0.0341,-0.0341
SOXL,0.2487,0.2487
SOXL,-7.6738,-7.6738
SOXL,-2.7746,-2.7746
SOXL,2.2601,2.2601
SOXL,-0.9122,-0.9122
SOXL,0.2248,0.2248
SOXL,5.7512,5.7512
SOXL,4.8608,4.8608
SOXL,-2.0174,-2.0174
SOXL,-3.0267,-3.0267
SOXL,-1.2264,-1.2264
SOXL,-2.6582,-2.6582
SOXL,3.269,3.269
SOXL,-5.3756,-5.3756
SOXL,0.1442,0.1442
SOXL,-1.1967,-1.1967
SOXL,-1.8024,-1.8024
SOXL,3.2711,3.2711
SOXL,-0.7437,-0.7437
SOXL,3.8566,3.8566
SOXL,2.38,2.38
SOXL,-1.5705,-1.5705
SOXL,2.1447,2.1447
SOXL,1.7036,1.7036
SOXL,-2.2853,-2.2853
SOXL,6.2253,6.2253
SOXL,-0.3941,-0.3941
SOXL,0.2345,0.2345
SOXL,-1.962,-1.962
SOXL,0.7474,0.7474
SOXL,4.5329,4.5329
SOXL,-2.3737,-2.3737
SOXL,6.9685,6.9685
SOXL,1.066,1.066
SOXL,-2.8366,-2.8366
SOXL,2.115,2.115
SOXL,0.7507,0.7507
SOXL,-1.5677,-1.5677
SOXL,1.9686,1.9686
SOXL,1.914,1.914
SOXL,-2.1648,-2.1648
SOXL,-1.7429,-1.7429
SOXL,-4.9856,-4.9856
SOXL,0.9248,0.9248
SOXL,3.0345,3.0345
SOXL,2.1956,2.1956
SOXL,6.4534,6.4534
SOXL,3.1912,3.1912
SOXL,-1.0659,-1.0659
SOXL,-3.7806,-3.7806
SOXL,-5.5772,-5.5772
SOXL,2.5888,2.5888
SOXL,5.0243,5.0243
SOXL,5.071,5.071
SOXL,6.6897,6.6897
SOXL,2.5165,2.5165
SOXL,2.993,2.993
SOXL,-4.708,-4.708
SOXL,0.1949,0.1949
SOXL,-15.4962,-15.4962
SOXL,1.5511,1.5511
SOXL,1.902,1.902
SOXL,0.752,0.752
SOXL,1.4203,1.4203
XLU,-0.6051,-1.5126
XLU,0.1722,0.4304
SOXL,1.6261,1.6261
SOXL,0.2702,0.2702
SOXL,4.3057,4.3057
SOXL,-1.1272,-1.1272
SOXL,2.9995,2.9995
SOXL,-10.2517,-10.2517
SOXL,1.3983,1.3983
XLU,-0.3659,-0.9148
XLU,-0.0678,-0.1695
XLU,-0.0295,-0.0738
XLU,0.3203,0.8008
XLU,0.2807,0.7018
XLU,-0.042,-0.1049
XLU,-0.08,-0.2
XLU,-0.1425,-0.3563
XLU,0.3762,0.9405
XLU,-1.5462,-3.8655
XLU,0.457,1.1424
SOXL,1.277,1.277
XLU,-0.3179,-0.7948
XLU,0.3869,0.9673
XLU,0.0575,0.1437
XLU,-0.8562,-2.1406
XLU,-0.1135,-0.2838
XLU,-0.3428,-0.857
XLU,-0.8657,-2.1643
XLU,0.6576,1.6439
SOXL,6.4191,6.4191
SOXL,0.6874,0.6874
SOXL,6.747,6.747
SOXL,-1.6928,-1.6928
SOXL,-0.5631,-0.5631
XLU,1.1881,2.9702
SOXL,2.0707,2.0707
SOXL,2.143,2.143
SOXL,3.0213,3.0213
SOXL,2.8111,2.8111
SOXL,1.3561,1.3561
SOXL,2.0947,2.0947
SOXL,-1.8542,-1.8542
SOXL,-6.5866,-6.5866
SOXL,3.9882,3.9882
SOXL,-1.5099,-1.5099
SOXL,1.4902,1.4902
SOXL,2.4468,2.4468
SOXL,-0.1472,-0.1472
SOXL,5.0962,5.0962
SOXL,1.7032,1.7032
SOXL,2.3519,2.3519
SOXL,0.0736,0.0736
SOXL,1.5885,1.5885
SOXL,-2.5638,-2.5638
SOXL,-0.6946,-0.6946
SOXL,1.2212,1.2212
SOXL,-2.7279,-2.7279
SOXL,2.7608,2.7608
SOXL,0.9798,0.9798
SOXL,2.8868,2.8868
SOXL,-2.0481,-2.0481
SOXL,-2.3177,-2.3177
SOXL,5.9232,5.9232
SOXL,-2.4269,-2.4269
SOXL,-0.2649,-0.2649
SOXL,1.2387,1.2387
SOXL,0.762,0.762
SOXL,-1.208,-1.208
SOXL,-2.4402,-2.4402
SOXL,-0.5484,-0.5484
SOXL,-1.7239,-1.7239
SOXL,3.1216,3.1216
SOXL,1.774,1.774
SOXL,2.5062,2.5062
SOXL,-3.4067,-3.4067
SOXL,-5.6125,-5.6125
SOXL,2.1546,2.1546
SOXL,1.4308,1.4308
SOXL,-2.6589,-2.6589
SOXL,6.3825,6.3825
SOXL,0.0738,0.0738
SOXL,1.1995,1.1995
SOXL,2.4151,2.4151
SOXL,2.1332,2.1332
SOXL,-3.8349,-3.8349
SOXL,-2.1864,-2.1864
SOXL,-0.7747,-0.7747
SOXL,0.1759,0.1759
SOXL,-0.5391,-0.5391
SOXL,-1.4033,-1.4033
SOXL,0.9022,0.9022
SOXL,-0.2975,-0.2975
