R1 PUT DIAGONAL INCOME ENGINE -- BACKTEST REPORT
run: 2026-07-19 10:00
NOTE: EOD decisions (option data is EOD); Monday-10:00 spec needs intraday option data (already on the request list).

BASE CONFIG {'short_delta': 0.225, 'anchor_mness': 1.0, 'anchor_dte': 150, 'anchor_dte_lo': 120, 'anchor_dte_hi': 180, 'anchor_roll_dte': 45, 'anchor_roll_drift': 0.1, 'roll_up': True, 'short_ratio': 1.0, 'no_anchor': False, 'delta_defense': False, 'defense_trigger': 0.5, 'sizing': 'notional', 'invest_frac': 0.75, 'sweep_frac': 0.25, 'start_capital': 150000.0}

  config: d22%_m100%_t150_notional_r10%
  weeks: 131
  blown: False
  end_wealth: 52456.0
  total_ret_pct: -65.0
  cagr_pct: -34.1
  max_dd_pct: -65.1
  ann_vol_pct: 16.5
  worst_wk_pct: -7.2
  income_weeks: 71
  loss_weeks: 55
  short_prem_collected: 105370.0
  short_realized: -30028.0
  anchor_realized: -64810.0
  anchor_rolls: 61
  sweep_final: 35288.0
  commissions: 2707.0
  qa_wealth_recon: PASS

PARAMETER GRID (sorted by end wealth)
                                config  weeks  blown  end_wealth  total_ret_pct  cagr_pct  max_dd_pct  ann_vol_pct  worst_wk_pct  income_weeks  loss_weeks  short_prem_collected  short_realized  anchor_realized  anchor_rolls  sweep_final  commissions qa_wealth_recon
     d20%_m100%_t150_notional_r10%_def    131  False    55103.65          -63.3     -32.8       -63.6         18.9          -8.4            72          54               96433.0        -15841.0         -75840.0            61     36962.25       3216.0            PASS
     d30%_m100%_t150_notional_r10%_def    131  False    54948.00          -63.4     -32.9       -63.6         16.2          -8.0            64          62              162019.0        -25184.0         -66740.0            61     37052.40       3128.0            PASS
          d25%_m85%_t150_notional_r10%    131  False    54715.60          -63.5     -33.0       -64.9         15.1          -8.8            70          56              126908.0        -39251.0         -53231.0            62     31789.10       2803.0            PASS
      d30%_m90%_t150_notional_r10%_def    131  False    54487.40          -63.7     -33.1       -63.6         14.5          -8.3            63          63              164136.0        -25388.0         -66982.0            61     33118.55       3143.0            PASS
   d22%_m90%_t150_notional_r15%_dnonly    131  False    54168.45          -63.9     -33.3       -66.3         32.9         -31.1            96          35              242160.0        -63449.0         -29404.0            15     54183.05       2979.0            PASS
  d22%_m100%_t150_notional_r20%_dnonly    131  False    54034.05          -64.0     -33.3       -65.4         31.9         -29.5            97          34              233024.0        -56019.0         -37039.0            14     55549.20       2909.0            PASS
          d20%_m85%_t150_notional_r10%    131  False    53989.20          -64.0     -33.3       -65.1         15.4          -8.3            73          55              100429.0        -34449.0         -58564.0            63     30239.30       2998.0            PASS
         d30%_m100%_t150_notional_r10%    131  False    53826.85          -64.1     -33.4       -64.2         15.5          -7.2            68          56              137034.0        -35583.0         -58053.0            60     36600.60       2537.0            PASS
  d22%_m100%_t150_notional_r30%_dnonly    131  False    53637.65          -64.2     -33.5       -65.7         25.4         -20.4            96          35              187397.0        -44832.0         -49061.0            12     43422.45       2469.0            PASS
     d15%_m100%_t150_notional_r10%_def    131  False    53278.75          -64.5     -33.7       -64.8         21.1          -8.0            74          52               71085.0        -15656.0         -77799.0            61     36289.80       3266.0            PASS
         d22%_m100%_t180_notional_r10%    131  False    53100.60          -64.6     -33.8       -64.7         16.2          -7.0            72          54              107236.0        -30359.0         -63806.0            60     35864.95       2735.0            PASS
      d15%_m90%_t150_notional_r10%_def    131  False    53053.45          -64.6     -33.8       -64.7         18.5          -8.6            74          52               73991.0        -16518.0         -77075.0            62     31425.30       3353.0            PASS
          d30%_m90%_t150_notional_r10%    131  False    52907.15          -64.7     -33.9       -65.2         15.6          -8.2            69          57              140835.0        -35547.0         -58966.0            61     33664.10       2580.0            PASS
          d22%_m90%_t150_notional_r10%    131  False    52885.75          -64.7     -33.9       -64.6         15.7          -7.5            71          55              106785.0        -30866.0         -63523.0            61     31615.35       2725.0            PASS
