entry_date,exit_date,entry,exit,tdays,ret
2021-01-07,2021-01-07,34.19733333333333,34.53930666666667,0,0.010000000000000009
2021-01-07,2021-01-07,34.846000000000004,35.19446000000001,0,0.010000000000000009
2021-01-07,2021-01-07,35.17133333333334,35.52304666666667,0,0.010000000000000009
2021-01-07,2021-01-07,35.534666666666666,35.890013333333336,0,0.010000000000000009
2021-01-07,2021-01-08,36.12133333333334,37.507333333333335,1,0.03837067660846771
2021-01-08,2021-01-08,37.20466666666667,37.57671333333334,0,0.010000000000000009
2021-01-08,2021-01-12,37.6,37.976,2,0.010000000000000009
2021-01-12,2021-01-12,38.03333333333333,38.413666666666664,0,0.010000000000000009
2021-01-12,2021-01-13,38.45133333333333,38.83584666666666,1,0.010000000000000009
2021-01-13,2021-01-14,38.13066666666667,39.19266666666667,1,0.027851598013846957
2021-01-14,2021-01-14,39.59666666666667,39.99263333333334,0,0.010000000000000009
2021-01-14,2021-01-14,39.93,40.3293,0,0.010000000000000009
2021-01-14,2021-01-14,40.35733333333334,40.76090666666667,0,0.010000000000000009
2021-01-14,2021-01-14,40.781333333333336,41.18914666666667,0,0.010000000000000009
2021-01-14,2021-01-14,41.2,41.612,0,0.010000000000000009
2021-01-14,2021-01-20,41.45733333333333,43.163333333333334,3,0.041150741324413875
2021-01-20,2021-01-20,42.78333333333333,43.211166666666664,0,0.010000000000000009
2021-01-20,2021-02-11,43.147333333333336,43.57880666666667,16,0.010000000000000009
2021-02-11,2021-02-11,43.662666666666674,44.09929333333334,0,0.010000000000000009
2021-02-11,2021-02-12,44.11666666666667,44.557833333333335,1,0.010000000000000009
2021-02-12,2021-02-12,44.51866666666667,44.96385333333333,0,0.010000000000000009
2021-02-12,2021-02-12,45.162,45.61362,0,0.010000000000000009
2021-02-12,2021-02-16,45.733333333333334,47.336666666666666,1,0.03505830903790086
2021-02-16,2021-02-16,47.058,47.52858,0,0.010000000000000009
2021-02-16,2021-08-04,47.6,48.076,118,0.010000000000000009
2021-08-04,2021-08-30,48.0,48.480000000000004,18,0.010000000000000009
2021-08-30,2021-09-16,48.95,49.4395,12,0.010000000000000009
2021-09-16,2021-11-01,49.43,49.9243,32,0.010000000000000009
2021-11-01,2021-11-02,49.96,50.4596,1,0.010000000000000009
2021-11-02,2021-11-02,50.9,51.409,0,0.010000000000000009
2021-11-02,2021-11-03,51.67,52.1867,1,0.010000000000000009
2021-11-03,2021-11-03,52.33,52.8533,0,0.010000000000000009
2021-11-03,2021-11-03,53.15,53.6815,0,0.010000000000000009
2021-11-03,2021-11-04,53.73,55.41,1,0.03126744835287543
2021-11-04,2021-11-04,55.02,55.57020000000001,0,0.010000000000000009
2021-11-04,2021-11-04,55.87,56.4287,0,0.010000000000000009
2021-11-04,2021-11-04,56.18,56.7418,0,0.010000000000000009
2021-11-04,2021-11-04,56.76,57.3276,0,0.010000000000000009
2021-11-04,2021-11-04,57.27,57.8427,0,0.010000000000000009
2021-11-04,2021-11-04,57.73,58.3073,0,0.010000000000000009
2021-11-04,2021-11-04,58.33,58.9133,0,0.010000000000000009
2021-11-04,2021-11-04,58.98,59.5698,0,0.010000000000000009
2021-11-04,2021-11-05,59.48,60.074799999999996,1,0.010000000000000009
2021-11-05,2021-11-05,61.49,62.1049,0,0.010000000000000009
2021-11-05,2021-11-08,62.17,62.7917,1,0.010000000000000009
2021-11-08,2021-11-08,62.84,63.4684,0,0.010000000000000009
2021-11-08,2021-11-08,63.46,64.0946,0,0.010000000000000009
2021-11-08,2021-11-09,64.1,65.27,1,0.018252730109204363
