final_equity,total_ret_pct,cagr_pct,max_dd_pct,avg_deployed_pct,wins,stalls,soxs_pnl,target,stall,mode,sizing
183979.0,22.7,4.6,-75.9,72.3,925,124,-96079.0,1.7500000000000002,4,soxs_recover,half_cash
350655.0,133.8,20.8,-63.8,73.6,931,124,-149304.0,1.7500000000000002,4,soxs_fixed5,half_cash
92461.0,-38.4,-10.2,-56.9,80.0,910,119,-182257.0,1.7500000000000002,4,soxs_lot,half_cash
399831.0,166.6,24.4,-76.7,69.2,824,100,0.0,1.7500000000000002,5,none,half_cash
254553.0,69.7,12.5,-91.5,100.0,824,100,0.0,1.7500000000000002,5,stop,full
109013.0,-27.3,-6.9,-83.1,69.6,821,100,-64990.0,1.7500000000000002,5,soxs_recover,half_cash
320311.0,113.5,18.4,-62.8,70.2,824,100,-124806.0,1.7500000000000002,5,soxs_fixed5,half_cash
128926.0,-14.0,-3.3,-59.5,76.8,825,97,-171491.0,1.7500000000000002,5,soxs_lot,half_cash
340582.0,127.1,20.0,-78.9,65.3,716,77,0.0,1.7500000000000002,7,none,half_cash
264736.0,76.5,13.5,-91.0,100.0,716,77,0.0,1.7500000000000002,7,stop,full
274615.0,83.1,14.4,-68.1,65.3,715,77,-40156.0,1.7500000000000002,7,soxs_recover,half_cash
429407.0,186.3,26.4,-63.8,64.5,716,77,-99600.0,1.7500000000000002,7,soxs_fixed5,half_cash
164811.0,9.9,2.1,-55.1,72.3,710,76,-145307.0,1.7500000000000002,7,soxs_lot,half_cash
388206.0,158.8,23.6,-87.8,88.9,1328,500,0.0,2.0,1,none,half_cash
361519.0,141.0,21.6,-90.6,100.0,1328,500,0.0,2.0,1,stop,full
163369.0,8.9,1.9,-79.0,88.7,1235,471,-102249.0,2.0,1,soxs_recover,half_cash
359373.0,139.6,21.5,-72.1,89.1,1277,472,-148935.0,2.0,1,soxs_fixed5,half_cash
88045.0,-41.3,-11.2,-57.7,92.1,966,334,-190397.0,2.0,1,soxs_lot,half_cash
424226.0,182.8,26.0,-83.5,82.0,1045,255,0.0,2.0,2,none,half_cash
339824.0,126.5,20.0,-91.3,100.0,1045,255,0.0,2.0,2,stop,full
177407.0,18.3,3.8,-80.5,81.9,1032,250,-89441.0,2.0,2,soxs_recover,half_cash
270945.0,80.6,14.1,-77.6,82.1,1041,248,-106202.0,2.0,2,soxs_fixed5,half_cash
74597.0,-50.3,-14.4,-67.1,87.6,816,197,-142431.0,2.0,2,soxs_lot,half_cash
370410.0,146.9,22.3,-81.9,77.5,874,174,0.0,2.0,3,none,half_cash
286049.0,90.7,15.5,-91.1,100.0,874,174,0.0,2.0,3,stop,full
