w,start,cagr,final,dd
0.45,2022-01-10,0.2923844646829734,315012.2232506904,-0.576867365275675
0.45,2022-01-24,0.3303883365082738,354718.46047131054,-0.5509646371306002
0.45,2022-01-31,0.3343182506893114,357408.46254415635,-0.5509646371306003
0.45,2022-02-07,0.339945054068054,362076.2313276103,-0.5509646371305998
0.45,2022-02-14,0.35420585191071874,377131.0599296401,-0.5509646371306003
0.45,2022-02-28,0.35258008878572067,370835.19220091857,-0.5509646371306001
0.45,2022-03-07,0.39734784226292885,424388.20237643964,-0.5509646371306002
0.45,2022-03-14,0.40795318342867093,435614.3881503582,-0.5509646371305998
0.45,2022-03-21,0.35676666442242655,369306.48417927686,-0.5509646371306
0.45,2022-03-28,0.3448539032072244,353606.7792820663,-0.5509646371306001
0.45,2022-04-04,0.36306204079405746,372254.3178418719,-0.5509646371306001
0.45,2022-04-11,0.4132932264845457,431178.2265367488,-0.5509646371306001
0.45,2022-04-18,0.4123926159642415,427182.47212065523,-0.5509646371305998
0.55,2022-01-03,0.29513932350284744,319607.52892497135,-0.6794648161275942
0.55,2022-01-10,0.32501954453162907,352192.0111807813,-0.6610034747857554
0.55,2022-01-24,0.37279415306544395,407684.15970848675,-0.6358819410768137
0.55,2022-01-31,0.3775628553560091,411469.2420850616,-0.6358819410768135
0.55,2022-02-07,0.38447920330507124,418056.34292251605,-0.6358819410768133
0.55,2022-02-14,0.4023847326876251,439499.6737803471,-0.6358819410768135
0.55,2022-02-28,0.3999643018270249,430599.58282120957,-0.6358819410768135
0.55,2022-03-07,0.457483632094992,509121.7786218194,-0.6358819410768135
0.55,2022-03-14,0.4708358482879629,525679.525800104,-0.6358819410768133
0.55,2022-03-21,0.40666956547820865,431080.4541712275,-0.6358819410768135
0.55,2022-03-28,0.3914725020848244,408891.8716207879,-0.6358819410768135
0.55,2022-04-04,0.41445251689174345,435559.1756889272,-0.6358819410768133
0.55,2022-04-11,0.4793101490346272,522896.6820263245,-0.6358819410768134
0.55,2022-04-18,0.4779519008238804,516986.31317763764,-0.6358819410768135
0.65,2022-01-03,0.30690989195028995,332866.40233333973,-0.7491132447394986
0.65,2022-01-10,0.3427175542866585,373730.35417498415,-0.7316161830685557
0.65,2022-01-24,0.4001276454373781,444938.47725612693,-0.7084372919330112
0.65,2022-01-31,0.40564916834525744,449828.78134913935,-0.7084372919330112
0.65,2022-02-07,0.4137677412841585,458364.1203858683,-0.7084372919330111
0.65,2022-02-14,0.435251854863701,486411.21889471717,-0.7084372919330111
0.65,2022-02-28,0.43188567538825784,474857.4399593189,-0.7084372919330112
0.65,2022-03-07,0.5025464923571958,580703.8500889116,-0.7084372919330113
0.65,2022-03-14,0.5186097766702908,603156.138047051,-0.7084372919330113
0.65,2022-03-21,0.4416865555483773,478944.0205642631,-0.7084372919330114
0.65,2022-03-28,0.4231556024140559,450079.7102656248,-0.7084372919330111
0.65,2022-04-04,0.45087858967161987,485186.51769672096,-0.7084372919330111
0.65,2022-04-11,0.5309819181708884,604514.4979335517,-0.7084372919330111
0.65,2022-04-18,0.5290689157126669,596455.8074138818,-0.7084372919330112
0.8,2022-01-03,0.29569334135134606,320222.2343704544,-0.8303992807064309
0.8,2022-01-10,0.3397234594022649,370016.5504440979,-0.8152943721402588
0.8,2022-01-24,0.4106115331044762,459906.45595557784,-0.7962586737683672
0.8,2022-01-31,0.4170349087704548,466143.5884774586,-0.7962586737683671
0.8,2022-02-07,0.426692546047613,477077.50442488695,-0.7962586737683671
0.8,2022-02-14,0.45314363629793575,513520.9249017879,-0.7962586737683671
0.8,2022-02-28,0.4481262898420084,498676.0283126618,-0.796258673768367
0.8,2022-03-07,0.5383539873161116,642901.7265357499,-0.7962586737683671
0.8,2022-03-14,0.5582067593965316,673770.5074959148,-0.7962586737683672
0.8,2022-03-21,0.4634934120486742,510743.7470990834,-0.7962586737683672
0.8,2022-03-28,0.44010607225349574,473379.3731447977,-0.7962586737683671
0.8,2022-04-04,0.47453576341410164,519657.57844710205,-0.7962586737683672
0.8,2022-04-11,0.5777311820202173,686421.9960021516,-0.7962586737683671
0.8,2022-04-18,0.5748250896209941,675194.2756214467,-0.7962586737683672
1.0,2022-01-03,0.22760040676010673,251256.07217210284,-0.9040943789035392
1.0,2022-01-10,0.28032061152618026,302069.0805940262,-0.8928682170542636
1.0,2022-01-24,0.36567756122370665,398393.48591549305,-0.8799533799533799
1.0,2022-01-31,0.3727589024055913,405170.0984780662,-0.87995337995338
1.0,2022-02-07,0.3837732225251116,417119.81566820276,-0.87995337995338
1.0,2022-02-14,0.4154607546599358,457724.3994943113,-0.87995337995338
1.0,2022-02-28,0.4080003943722299,441428.9197756642,-0.87995337995338
1.0,2022-03-07,0.5217486483425593,613453.0667570315,-0.87995337995338
1.0,2022-03-14,0.5456461922380411,650718.9072609632,-0.87995337995338
1.0,2022-03-21,0.4318690458780705,465133.6073997941,-0.87995337995338
1.0,2022-03-28,0.4028715243909602,423362.9560336766,-0.87995337995338
1.0,2022-04-04,0.44463998913532965,476394.73684210517,-0.87995337995338
1.0,2022-04-11,0.5765015205747899,684164.7770219208,-0.87995337995338
1.0,2022-04-18,0.5720658209893326,670233.2469455752,-0.87995337995338
