date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2024-05-09,57413.76401942026,1511.7640194202609,1400,39.93,51.0,,7.898754255056314e-19,0.0
2024-05-10,58939.76401942027,1511.7640194202609,1400,41.02,,,0.0,0.0
2024-05-13,59320.35401947189,1542.3540185331203,1400,41.3,51.0,,41.999999061226845,0.0
2024-05-14,62127.35401962836,1542.3540185331203,1400,43.31,51.0,,48.99999890476465,0.0
2024-05-15,67209.35401790727,1542.3540185331203,1400,47.01,51.0,,147.00000062584877,0.0
2024-05-16,66222.35401618619,1542.3540185331203,1400,46.25,51.0,,70.00000234693289,0.0
2024-05-17,65144.35401853312,1542.3540185331203,1400,45.43,,,0.0,0.0
2024-05-20,69037.47403966177,3041.4739996074536,1400,48.42,51.0,,1791.9999599456787,0.0
2024-05-21,68694.47403298605,3041.4739996074536,1400,47.92,51.0,,1434.999966621399,0.0
2024-05-22,69905.47398291815,3041.4739996074536,1400,49.56,51.0,,2520.0000166893005,0.0
2024-05-23,71067.474004197,3041.4739996074536,1400,48.82,51.0,,321.99999541044235,0.0
2024-05-24,74434.47399960745,74434.47399960745,0,51.54,,,0.0,0.0
2024-05-28,75480.20411349523,2071.204050075894,1400,54.17,54.0,,2428.999936580658,0.0
2024-05-29,72708.20405591714,2071.204050075894,1400,50.85,54.0,,552.9999941587448,0.0
2024-05-30,71623.20405059743,2071.204050075894,1400,49.78,54.0,,139.99999947845936,0.0
2024-05-31,70041.20405007589,2071.204050075894,1400,48.55,,,0.0,0.0
2024-06-03,70180.15403634895,2525.1540421901996,1400,48.68,54.0,,497.0000058412552,0.0
2024-06-04,68955.15403843511,2525.1540421901996,1400,47.58,54.0,,182.00000375509262,0.0
2024-06-05,75948.15407223094,2525.1540421901996,1400,53.78,54.0,,1868.999969959259,0.0
2024-06-06,75157.15402383197,2525.1540421901996,1400,52.46,54.0,,812.0000183582306,0.0
2024-06-07,75199.1540421902,2525.1540421901996,1400,51.91,,,0.0,0.0
2024-06-10,77035.25396391738,4368.254010647422,1400,54.12,54.0,,3101.0000467300415,0.0
2024-06-11,77357.2539705931,4368.254010647422,1400,54.23,54.0,,2933.0000400543213,0.0
2024-06-12,79653.25414416182,4368.254010647422,1400,58.75,54.0,,6964.999866485596,0.0
2024-06-13,79814.25414416182,4368.254010647422,1400,60.74,54.0,,9589.999866485596,0.0
2024-06-14,79961.25401064742,79961.25401064742,0,60.03,,,0.0,0.0
2024-06-17,81722.42903544295,3195.9290106474186,1300,62.8,62.0,,3113.499975204468,0.0
2024-06-18,83132.92910363067,3195.9290106474186,1300,65.19,62.0,,4809.999907016754,0.0
2024-06-20,80565.42900212396,3195.9290106474186,1300,59.93,62.0,,539.5000085234642,0.0
2024-06-21,78621.92901064742,3195.9290106474186,1300,58.02,,,0.0,0.0
2024-06-24,72771.14901418079,3949.149016505363,1300,53.11,62.0,,221.00000232458115,0.0
2024-06-25,75644.14901418079,3949.149016505363,1300,55.32,62.0,,221.00000232458115,0.0
2024-06-26,74890.14901573051,3949.149016505363,1300,54.71,62.0,,182.00000077486038,0.0
2024-06-27,73947.64901694123,3949.149016505363,1300,53.86,62.0,,19.499999564141035,0.0
2024-06-28,75904.14901650537,3949.149016505363,1300,55.35,,,0.0,0.0
2024-07-01,75967.97901450234,4038.979014308634,1300,55.42,62.0,,116.9999998062849,0.0
2024-07-02,78860.47901217776,4038.979014308634,1300,57.69,62.0,,175.50000213086605,0.0
2024-07-03,82305.47900810975,4038.979014308634,1300,60.7,62.0,,643.500006198883,0.0
2024-07-05,83091.97901430863,4038.979014308634,1300,60.81,,,0.0,0.0
2024-07-08,87122.30416246194,7900.304131467523,1300,64.34,62.0,,4419.999969005585,0.0
2024-07-09,86725.80416246194,7900.304131467523,1300,64.16,62.0,,4582.499969005585,0.0
2024-07-10,88844.80413146752,7900.304131467523,1300,68.64,62.0,,8287.5,0.0
2024-07-11,86868.80409737366,7900.304131467523,1300,61.78,62.0,,1345.5000340938568,0.0
2024-07-12,88493.80413146752,88493.80413146752,0,64.08,,,0.0,0.0
2024-07-15,89165.90405429142,7623.404072888076,1300,64.21,66.0,,1930.5000185966492,0.0
2024-07-16,90218.90406358975,7623.404072888076,1300,65.34,66.0,,2346.5000092983246,0.0
2024-07-17,74371.90407356608,7623.404072888076,1300,51.41,66.0,,84.49999932199717,0.0
2024-07-18,74911.40407346922,7623.404072888076,1300,51.78,66.0,,25.999999418854713,0.0
2024-07-19,68723.40407288808,7623.404072888076,1300,47.0,,,0.0,0.0
2024-07-22,76591.64407224345,2678.644070522368,1400,52.85,66.0,,76.99999827891588,0.0
2024-07-23,73224.64407208699,2678.644070522368,1400,50.44,66.0,,69.99999843537807,0.0
2024-07-24,62164.644071148214,2678.644070522368,1400,42.51,66.0,,27.99999937415123,0.0
2024-07-25,58104.64407052237,2678.644070522368,1400,39.59,66.0,,3.2698257663058144e-83,0.0
2024-07-26,61464.644070522365,2678.644070522368,1400,41.99,,,0.0,0.0
2024-07-29,61110.234070104605,2709.2340696352276,1400,41.73,66.0,,20.999999530613422,0.0
2024-07-30,54526.99969110287,2709.2340696352276,1400,37.13,66.0,,164.23437853235342,0.0
2024-07-31,65128.23407010461,2709.2340696352276,1400,44.6,66.0,,20.999999530613422,0.0
2024-08-01,51682.37352712785,2709.2340696352276,1400,34.99,66.0,,12.860542507373484,0.0
2024-08-02,43757.234069635226,2709.2340696352276,1400,29.32,,,0.0,0.0
2024-08-05,41847.63738551518,42.15906931839163,1500,27.89,66.0,,29.521683803204038,0.0
2024-08-06,42941.50777312259,42.15906931839163,1500,28.61,66.0,,15.65129619579666,0.0
2024-08-07,39162.15906931839,42.15906931839163,1500,26.08,66.0,,3.725451894744576e-137,0.0
2024-08-08,47337.15906931839,42.15906931839163,1500,31.53,66.0,,9.916441622235222e-174,0.0
2024-08-09,46482.15906931839,42.15906931839163,1500,30.96,,,0.0,0.0
2024-08-12,47251.584069001554,46.58406900155569,1500,31.47,66.0,,2.651899817290917e-43,0.0
2024-08-13,53041.584069001554,46.58406900155569,1500,35.33,66.0,,4.0268375658643836e-41,0.0
2024-08-14,52501.584069001554,46.58406900155569,1500,34.97,66.0,,4.431224412459513e-64,0.0
2024-08-15,60181.58406900156,46.58406900155569,1500,40.09,66.0,,3.845002648318368e-79,0.0
2024-08-16,59626.584069001554,46.58406900155569,1500,39.72,,,0.0,0.0
2024-08-19,62630.3767441484,51.00906868471975,1500,41.73,66.0,,15.63232453630925,0.0
2024-08-20,60111.00906868472,51.00906868471975,1500,40.04,66.0,,4.8797660356855436e-26,0.0
2024-08-21,62706.009068684725,51.00906868471975,1500,41.77,66.0,,5.369570835611776e-33,0.0
2024-08-22,56316.00906868472,51.00906868471975,1500,37.51,66.0,,1.0898056054104218e-101,0.0
2024-08-23,60636.00906868472,51.00906868471975,1500,40.39,,,0.0,0.0
2024-08-26,56348.44824367829,533.4482435106479,1500,37.34,66.0,,194.99999983236194,0.0
2024-08-27,58203.980843573496,533.4482435106479,1500,38.57,66.0,,184.46739993715445,0.0
2024-08-28,55267.79689826751,533.4482435106479,1500,36.5,66.0,,15.651345243139907,0.0
2024-08-29,54758.08621397792,533.4482435106479,1500,36.17,66.0,,30.362029532724765,0.0
2024-08-30,58913.44824351065,533.4482435106479,1500,38.92,,,0.0,0.0
2024-09-03,46656.123278897925,1813.6232806860648,1500,30.05,36.0,,232.50000178813934,0.0
2024-09-04,47076.12327934496,1813.6232806860648,1500,30.26,36.0,,127.50000134110451,0.0
2024-09-05,46416.12328185953,1813.6232806860648,1500,29.77,36.0,,52.499998826533556,0.0
2024-09-06,40738.623280686064,1813.6232806860648,1500,25.95,,,0.0,0.0
2024-09-09,43056.42327962324,1888.9232787850492,1500,27.47,36.0,,37.49999916180968,0.0
2024-09-10,44308.92327979088,1888.9232787850492,1500,28.31,36.0,,44.99999899417162,0.0
2024-09-11,50046.42327878504,1888.9232787850492,1500,32.23,36.0,,187.5,0.0
2024-09-12,49566.42327962324,1888.9232787850492,1500,31.81,36.0,,37.49999916180968,0.0
2024-09-13,52048.92327878505,1888.9232787850492,1500,33.44,,,0.0,0.0
2024-09-16,50133.723296872085,2531.223290613591,1500,32.13,36.0,,592.4999937415123,0.0
2024-09-17,50306.22329150766,2531.223290613591,1500,32.21,36.0,,539.9999991059303,0.0
2024-09-18,49091.22329083711,2531.223290613591,1500,31.13,36.0,,134.99999977648258,0.0
2024-09-19,54558.72327899069,2531.223290613591,1500,35.13,36.0,,667.5000116229057,0.0
2024-09-20,52856.22329061358,2531.223290613591,1500,33.55,,,0.0,0.0
2024-09-23,53530.398247680365,3527.8982601973407,1500,33.92,36.0,,877.5000125169754,0.0
2024-09-24,54970.398249468504,3527.8982601973407,1500,35.1,36.0,,1207.500010728836,0.0
2024-09-25,55630.39831026525,3527.8982601973407,1500,35.77,36.0,,1552.4999499320984,0.0
2024-09-26,57602.898331722914,3527.8982601973407,1500,39.6,36.0,,5324.999928474426,0.0
2024-09-27,57520.39826019734,57520.39826019734,0,37.64,,,0.0,0.0
2024-09-30,57845.07312901945,4535.073179087347,1500,36.63,37.5,,1635.0000500679016,0.0
2024-10-01,54462.5731670174,4535.073179087347,1500,33.55,37.5,,397.50001206994057,0.0
2024-10-02,56465.07318176956,4535.073179087347,1500,34.95,37.5,,494.999997317791,0.0
2024-10-03,57065.07318400473,4535.073179087347,1500,35.25,37.5,,344.9999950826168,0.0
2024-10-04,59600.07317908735,4535.073179087347,1500,36.71,,,0.0,0.0
2024-10-07,58912.173167643254,2424.1731790873473,1600,36.36,37.5,,1688.0000114440918,0.0
2024-10-08,60360.173194346135,2424.1731790873473,1600,37.47,37.5,,2015.999984741211,0.0
2024-10-09,61376.17318671674,2424.1731790873473,1600,38.6,37.5,,2807.9999923706055,0.0
2024-10-10,61496.1731733653,2424.1731790873473,1600,37.76,37.5,,1344.000005722046,0.0
2024-10-11,62416.173179087345,62416.173179087345,0,38.65,,,0.0,0.0
2024-10-14,62202.34822082252,2682.3481993648456,1500,40.82,41.5,,1709.9999785423279,0.0
2024-10-15,54237.34820271761,2682.3481993648456,1500,34.47,41.5,,149.99999664723873,0.0
2024-10-16,54304.848199141335,2682.3481993648456,1500,34.45,41.5,,52.50000022351742,0.0
2024-10-17,55489.84820020303,2682.3481993648456,1500,35.23,41.5,,37.49999916180968,0.0
2024-10-18,55602.348199364846,2682.3481993648456,1500,35.28,,,0.0,0.0
2024-10-21,55316.82320386649,2771.8231997872936,1500,35.11,41.5,,119.99999592080712,0.0
2024-10-22,54754.323200625484,2771.8231997872936,1500,34.68,41.5,,37.49999916180968,0.0
2024-10-23,53426.82319511714,2771.8231997872936,1500,33.77,41.5,,4.670161680675732e-06,0.0
2024-10-24,54191.823199787264,2771.8231997872936,1500,34.28,41.5,,2.8404385993618346e-11,0.0
2024-10-25,55736.82319978729,2771.8231997872936,1500,35.31,,,0.0,0.0
2024-10-28,55888.84819414571,2946.348193028127,1500,35.37,41.5,,112.49999888241291,0.0
2024-10-29,59331.348193922204,2946.348193028127,1500,37.95,41.5,,539.9999991059303,0.0
