start,cfg,final,cagr,maxdd,bh_cagr,bh_dd,excess
2022-01-10,F2+F3,270021.5338922757,0.23444122763280784,-0.6965600132552656,0.28028432653462576,-0.8927109879621592,-0.045843098901817925
2022-01-10,F1+F2+F3,270021.5338922757,0.23444122763280784,-0.6965600132552656,0.28028432653462576,-0.8927109879621592,-0.045843098901817925
2022-01-24,baseline,123025.1570796601,0.042972920937878634,-0.6513220636879319,0.3656743260015636,-0.8799452080237742,-0.32270140506368494
2022-01-24,F1,125779.55676873843,0.04819266044098325,-0.6513220636879319,0.3656743260015636,-0.8799452080237742,-0.31748166556058033
2022-01-24,F2,182583.25279055673,0.12849447262666036,-0.6342361644433474,0.3656743260015636,-0.8799452080237742,-0.23717985337490322
2022-01-24,F3,189741.59122471904,0.14474285883955407,-0.7224092301300649,0.3656743260015636,-0.8799452080237742,-0.2209314671620095
2022-01-24,F1+F2,182583.25279055673,0.12849447262666036,-0.6342361644433474,0.3656743260015636,-0.8799452080237742,-0.23717985337490322
2022-01-24,F1+F3,197288.14069750404,0.1548536045095803,-0.7224092301300649,0.3656743260015636,-0.8799452080237742,-0.21082072149198328
2022-01-24,F2+F3,272000.94880048826,0.22801070426055947,-0.7060476376449587,0.3656743260015636,-0.8799452080237742,-0.1376636217410041
2022-01-24,F1+F2+F3,272000.94880048826,0.22801070426055947,-0.7060476376449587,0.3656743260015636,-0.8799452080237742,-0.1376636217410041
2022-01-31,baseline,123387.2968608684,0.04565320471688317,-0.6441798560271821,0.37274172221344837,-0.8799113488594479,-0.3270885174965652
2022-01-31,F1,126141.69654994673,0.050893830494581405,-0.6441798560271821,0.37274172221344837,-0.8799113488594479,-0.32184789171886696
2022-01-31,F2,175501.94518787405,0.12448458437327226,-0.624529611583104,0.37274172221344837,-0.8799113488594479,-0.2482571378401761
2022-01-31,F3,184138.1158681326,0.14130225064646162,-0.717510932369746,0.37274172221344837,-0.8799113488594479,-0.23143947156698674
2022-01-31,F1+F2,175501.94518787405,0.12448458437327226,-0.624529611583104,0.37274172221344837,-0.8799113488594479,-0.2482571378401761
2022-01-31,F1+F3,189528.09041301536,0.14878289412610934,-0.717510932369746,0.37274172221344837,-0.8799113488594479,-0.22395882808733902
2022-01-31,F2+F3,271990.4664046281,0.23715042133002195,-0.6965882530788006,0.37274172221344837,-0.8799113488594479,-0.1355913008834264
2022-01-31,F1+F2+F3,271990.4664046281,0.23715042133002195,-0.6965882530788006,0.37274172221344837,-0.8799113488594479,-0.1355913008834264
2022-02-07,baseline,123555.18480624148,0.05191376637981526,-0.6176440095013991,0.3836903005564698,-0.8797605472455978,-0.33177653417665454
2022-02-07,F1,126494.48822028478,0.05755344766286097,-0.6176440095013991,0.3836903005564698,-0.8797605472455978,-0.32613685289360883
2022-02-07,F2,197569.52557986262,0.17077033563212107,-0.5762854452021227,0.3836903005564698,-0.8797605472455978,-0.21291996492434873
2022-02-07,F3,184004.0216574804,0.15330625850360646,-0.7015959724531553,0.3836903005564698,-0.8797605472455978,-0.23038404205286334
2022-02-07,F1+F2,197569.52557986262,0.17077033563212107,-0.5762854452021227,0.3836903005564698,-0.8797605472455978,-0.21291996492434873
2022-02-07,F1+F3,189693.99620686925,0.1613220664898558,-0.7015959724531553,0.3836903005564698,-0.8797605472455978,-0.222368234066614
2022-02-07,F2+F3,272022.67396044044,0.26095723484989897,-0.6656103463884496,0.3836903005564698,-0.8797605472455978,-0.12273306570657083
2022-02-07,F1+F2+F3,272022.67396044044,0.26095723484989897,-0.6656103463884496,0.3836903005564698,-0.8797605472455978,-0.12273306570657083
2022-02-14,baseline,128450.46560282828,0.0618954006974779,-0.6106865497596025,0.4154145852442066,-0.8798607377519644,-0.3535191845467287
2022-02-14,F1,132946.09029828582,0.07027250533925367,-0.6106865497596025,0.4154145852442066,-0.8798607377519644,-0.34514207990495294
2022-02-14,F2,197557.44486989174,0.17193375547381762,-0.5716595359468633,0.4154145852442066,-0.8798607377519644,-0.24348082977038898
2022-02-14,F3,198008.06478402362,0.17388068873491003,-0.7036238673273848,0.4154145852442066,-0.8798607377519644,-0.24153389650929658
2022-02-14,F1+F2,197557.44486989174,0.17193375547381762,-0.5716595359468633,0.4154145852442066,-0.8798607377519644,-0.24348082977038898
2022-02-14,F1+F3,197005.87022276863,0.1725208587747633,-0.7036238673273848,0.4154145852442066,-0.8798607377519644,-0.2428937264694433
