date,equity,cash,shares,spot,call_K,put_K,call_val,put_val
2023-06-26,55251.915220914634,951.9152104540177,2400,22.07,26.0,16.0,83.99999812245369,1416.0000085830688
2023-06-27,60003.915211169275,951.9152104540177,2400,24.41,26.0,16.0,456.00001215934753,924.0000128746033
2023-06-28,58827.91518416837,951.9152104540177,2400,23.75,26.0,16.0,167.99999624490738,1043.999969959259
2023-06-29,59067.91520267561,951.9152104540177,2400,23.82,26.0,16.0,35.999999195337296,983.9999914169312
2023-06-30,61335.915226189645,951.9152104540177,2400,24.87,,16.0,0.0,696.0000157356262
2023-07-03,62587.51524757579,1843.5152239723511,2400,25.5,26.0,16.0,1067.9999828338623,612.0000064373016
2023-07-05,59707.51523130372,1843.5152239723511,2400,23.83,26.0,16.0,107.99999982118607,780.0000071525574
2023-07-06,57895.51490479003,1843.5152239723511,2400,22.96,26.0,16.0,0.0003091687484927942,947.9999899864197
2023-07-07,57823.515223972354,1843.5152239723511,2400,22.95,,16.0,0.0,900.0
2023-07-10,60720.075220034865,2100.075217889101,2400,24.34,26.0,16.0,456.00001215934753,660.0000143051147
2023-07-11,60768.07520215347,2100.075217889101,2400,24.36,26.0,16.0,444.0000057220459,647.9999899864197
2023-07-12,63312.07522718742,2100.075217889101,2400,25.72,26.0,16.0,947.9999899864197,431.99999928474426
2023-07-13,64608.075233267096,2100.075217889101,2400,27.29,26.0,16.0,3311.999988555908,324.00000393390656
2023-07-14,64872.07522718742,64488.0752178891,0,26.27,,16.0,0.0,384.0000092983246
2023-07-17,66448.03521354034,2644.0352557404317,2400,28.09,27.0,16.0,3852.000045776367,240.0000035762787
2023-07-18,66784.03524536922,2644.0352557404317,2400,28.24,27.0,16.0,3888.000011444092,252.0000010728836
2023-07-19,66184.03528327777,2644.0352557404317,2400,27.28,27.0,16.0,2207.9999685287476,275.99999606609344
2023-07-20,61204.03525493578,2644.0352557404317,2400,24.26,27.0,16.0,59.99999865889549,395.9999978542328
2023-07-21,62848.03525466755,2644.0352557404317,2400,24.94,,16.0,0.0,347.9999989271164
2023-07-24,62613.426245735434,713.4262431277313,2500,24.89,27.0,16.0,587.4999985098839,262.5000011175871
2023-07-25,65050.92626976357,713.4262431277313,2500,26.17,27.0,16.0,1274.999976158142,187.50000279396772
2023-07-26,63300.92624107882,713.4262431277313,2500,25.04,27.0,16.0,200.0000048428774,187.50000279396772
2023-07-27,66288.42624145135,713.4262431277313,2500,26.45,27.0,16.0,700.0000029802322,150.0000013038516
2023-07-28,68288.42624117195,68200.92624312773,0,28.17,,16.0,0.0,87.4999980442226
2023-07-31,68636.20017979354,2036.2002160033562,2400,28.45,29.0,16.0,1764.0000343322754,83.99999812245369
2023-08-01,68936.2002461335,2036.2002160033562,2400,28.52,29.0,16.0,1607.9999685287476,59.99999865889549
2023-08-02,62684.20021716565,2036.2002160033562,2400,25.25,29.0,16.0,83.99999812245369,131.99999928474426
2023-08-03,62384.200210754156,2036.2002160033562,2400,25.1,29.0,16.0,5.070386438319838e-06,107.99999982118607
2023-08-04,61856.20021412581,2036.2002160033562,2400,24.89,,16.0,0.0,83.99999812245369
2023-08-07,63739.36021658986,2179.360216679273,2400,25.69,29.0,16.0,155.99999874830246,59.99999865889549
2023-08-08,60823.360215874614,2179.360216679273,2400,24.42,29.0,16.0,35.999999195337296,71.99999839067459
2023-08-09,57583.36021587461,2179.360216679273,2400,23.07,29.0,16.0,47.999998927116394,83.99999812245369
2023-08-10,56911.360215338165,2179.360216679273,2400,22.78,29.0,16.0,2.538399129262419e-18,59.99999865889549
2023-08-11,53047.36021480172,2179.360216679273,2400,21.16,,16.0,0.0,83.99999812245369
2023-08-14,57264.217989882265,2186.4402161723356,2400,22.94,29.0,16.0,0.0026014091163455567,21.780375119054884
2023-08-15,54389.27738112523,2186.4402161723356,2400,21.76,29.0,16.0,21.162835048718254,1.6036622135786045e-09
2023-08-16,51338.44021617518,2186.4402161723356,2400,20.48,29.0,16.0,6.612468121942455e-19,2.8421533994169163e-09
2023-08-17,49948.47022134634,2186.4402161723356,2400,19.89,29.0,16.0,2.533788295137702e-45,26.030005174004557
2023-08-18,50618.440216172334,2186.4402161723356,2400,20.18,,,0.0,0.0
2023-08-21,53798.27832683664,2054.2782760646555,2100,21.93,29.0,20.0,31.499999295920134,5722.500050067902
2023-08-22,52926.778206673676,2054.2782760646555,2100,21.33,29.0,20.0,31.499999295920134,6110.999929904938
2023-08-23,54795.77831729245,2054.2782760646555,2100,22.66,29.0,20.0,52.499998826533556,5208.000040054321
2023-08-24,51530.27822599676,2054.2782760646555,2100,20.41,29.0,20.0,2.3421860317959325e-39,6614.999949932098
2023-08-25,51635.27833614614,2054.2782760646555,2100,20.64,,20.0,0.0,6237.000060081482
2023-08-28,52449.97335414122,2060.473275621085,2100,21.41,29.0,20.0,1.5885105810403163e-06,5428.500080108643
2023-08-29,54833.47307744577,2060.473275621085,2100,23.09,29.0,20.0,0.00011806667527032103,4283.999919891357
2023-08-30,55116.973294490526,2060.473275621085,2100,23.4,29.0,20.0,1.157722323883166e-06,3916.5000200271606
2023-08-31,55799.47329564824,2060.473275621085,2100,23.85,29.0,20.0,7.718943536491869e-12,3654.0000200271606
2023-09-01,56061.97330065504,2060.473275621085,2100,24.04,,20.0,0.0,3517.500025033951
2023-09-05,55927.949263695424,2073.449293032088,2100,24.02,29.0,20.0,31.499999295920134,3443.999969959259
2023-09-06,55003.949281372516,2073.449293032088,2100,23.45,29.0,20.0,1.6459908356920931e-06,3685.4999899864197
2023-09-07,52599.44937314073,2073.449293032088,2100,21.85,29.0,20.0,1.8824766159532278e-25,4641.000080108643
