entry_date,expiration,dte,spot_entry,S_exp,k_short,k_long,width,width_pct,short_delta,credit,credit_pct_width,max_loss_share,pnl_share,ror,breach,max_loss_hit,win,move_pct,year
2022-08-08,2022-08-19,11,20.540000000000003,19.17,21.0,22.0,1.0,0.0486854917234664,0.4856,0.372,0.372,0.628,0.372,0.5923566878980892,False,False,True,-0.06669912366114905,2022
2022-08-22,2022-09-02,11,17.04,12.86,18.0,19.0,1.0,0.05868544600938967,0.4241,0.29600000000000004,0.29600000000000004,0.704,0.29600000000000004,0.4204545454545455,False,False,True,-0.24530516431924887,2022
2022-09-06,2022-09-23,17,12.42,10.03,13.0,14.0,1.0,0.08051529790660225,0.488,0.32600000000000007,0.32600000000000007,0.6739999999999999,0.32600000000000007,0.4836795252225521,False,False,True,-0.19243156199677947,2022
2022-09-26,2022-10-07,11,9.55,9.21,10.0,11.0,1.0,0.10471204188481674,0.4716,0.31200000000000006,0.31200000000000006,0.688,0.31200000000000006,0.4534883720930234,False,False,True,-0.03560209424083771,2022
2022-10-10,2022-10-21,11,8.280000000000001,8.58,9.0,10.0,1.0,0.12077294685990336,0.4144,0.258,0.258,0.742,0.258,0.3477088948787062,False,False,True,0.03623188405797095,2022
2022-10-24,2022-11-04,11,8.68,8.99,9.0,10.0,1.0,0.1152073732718894,0.4921,0.32799999999999996,0.32799999999999996,0.672,0.32799999999999996,0.488095238095238,False,False,True,0.03571428571428581,2022
2022-11-07,2022-11-18,11,9.59,12.49,10.0,11.0,1.0,0.10427528675703858,0.4696,0.30000000000000004,0.30000000000000004,0.7,-0.7,-1.0,True,True,False,0.30239833159541196,2022
2022-11-21,2022-12-02,11,11.89,13.03,12.0,13.0,1.0,0.08410428931875526,0.5161,0.36600000000000005,0.36600000000000005,0.6339999999999999,-0.6339999999999999,-1.0,True,True,False,0.09587888982338089,2022
2022-12-05,2022-12-16,11,12.59,11.11,13.0,14.0,1.0,0.07942811755361398,0.481,0.33799999999999997,0.33799999999999997,0.662,0.33799999999999997,0.5105740181268882,False,False,True,-0.11755361397934871,2022
2022-12-19,2022-12-30,11,10.69,9.67,11.0,12.0,1.0,0.09354536950420955,0.4634,0.29600000000000004,0.29600000000000004,0.704,0.29600000000000004,0.4204545454545455,False,False,True,-0.09541627689429366,2022
2023-01-03,2023-01-20,17,9.36,12.79,10.0,11.0,1.0,0.10683760683760685,0.4368,0.288,0.288,0.712,-0.712,-1.0,True,True,False,0.3664529914529915,2023
2023-01-23,2023-02-03,11,14.74,16.93,15.0,16.0,1.0,0.06784260515603799,0.4993,0.364,0.364,0.636,-0.636,-1.0,True,True,False,0.14857530529172314,2023
