tenor,short_rule,short_param,width,trades,win_rate,breach_rate,maxloss_rate,avg_credit_pct_width,mean_ror,median_ror,total_ror,mean_pnl_share,worst_ror,best_ror,frac10_end,frac10_cagr,frac10_maxdd,full_risk_ruined,full_risk_ruin_trade
weekly,otm_step,3.0,3,184,0.7554347826086957,0.29347826086956524,0.07608695652173914,0.12675597826086957,-0.05011140125696981,0.06951885250985508,-9.220497831282445,-0.09177173913043508,-1.0,0.5228426395939086,35667.59999999985,-0.20537241542686402,-0.7307471582614311,True,9
weekly,delta,0.15,1,203,0.8275862068965517,0.18226600985221675,0.09359605911330049,0.07382463054187194,-0.050654947813596946,0.07526881720430109,-10.28295440616018,-0.060532019704433525,-1.0,0.25,32081.39999999995,-0.2239285213470743,-0.7017780770215556,True,9
monthly,delta,0.2,5,44,0.8409090909090909,0.1590909090909091,0.022727272727272728,0.058851063982131184,-0.052491177121197045,0.06723629673150969,-2.30961179333267,-0.6546363636363637,-1.0,0.11061750333185251,79388.6,-0.0511709971307307,-0.2409832611943158,True,21
monthly,delta,0.1,2,40,0.875,0.125,0.025,0.02826696428571429,-0.056264764898560526,0.03103413818982764,-2.250590595942421,-0.31645000000000023,-1.0,0.04493207941483801,79630.6,-0.052855808387808456,-0.23418566361740933,True,40
two_week,delta,0.2,5,105,0.8,0.20952380952380953,0.0380952380952381,0.0618859205979206,-0.05678515731538467,0.05708245243128964,-5.962441518115391,-0.2836761904761905,-1.0,0.12007168458781362,53837.59999999999,-0.129554172690601,-0.4867564753982364,True,5
weekly,otm_step,1.0,3,204,0.6519607843137255,0.44607843137254904,0.20098039215686275,0.24462418300653596,-0.057120524885403895,0.1763986332951854,-11.652587076622394,-0.13056862745098055,-1.0,0.722158438576349,22705.99999999996,-0.2814966537197111,-0.8523841658650051,True,2
monthly,delta,0.1,1,41,0.9024390243902439,0.0975609756097561,0.07317073170731707,0.028314634146341475,-0.05850831854739064,0.027960526315789463,-2.3988410604430164,-0.03912195121951222,-1.0,0.05263157894736841,77403.19999999998,-0.06023186949576442,-0.25563274086599497,True,14
monthly,otm_step,3.0,1,46,0.5869565217391305,0.43478260869565216,0.34782608695652173,0.22086956521739126,-0.05912472084272141,0.19203228006365095,-2.719737158765185,-0.21060869565217394,-1.0,7.333333333333326,57472.40000000001,-0.11828492779201982,-0.6913541851786031,True,6
weekly,delta,0.2,3,194,0.7835051546391752,0.22164948453608246,0.05154639175257732,0.07406725085910652,-0.06034091175231755,0.07066381156316917,-11.706136879949606,-0.18698969072164964,-1.0,0.14329268292682928,29226.399999999925,-0.24001861495245524,-0.7397010232856155,True,8
weekly,delta,0.3,3,202,0.7178217821782178,0.3118811881188119,0.0891089108910891,0.13634148986327205,-0.062126652956542364,0.13079548670665297,-12.549583897221558,-0.09920792079207931,-1.0,0.3066202090592335,23602.799999999894,-0.2752636344518725,-0.8125714151679961,True,9
two_week,delta,0.1,2,100,0.86,0.14,0.05,0.031409333333333345,-0.062337369526093124,0.029336350883438653,-6.233736952609313,-0.17016000000000006,-1.0,0.06307583274273565,52466.999999999956,-0.13373070141593024,-0.4796330253381601,True,5
weekly,delta,0.4,3,204,0.6617647058823529,0.4019607843137255,0.14705882352941177,0.19883660130718953,-0.06258276856146168,0.1769337604995974,-12.766884786538183,-0.09746078431372565,-1.0,0.5228426395939086,21333.799999999945,-0.2914148549833748,-0.8315369561944909,True,9
two_week,otm_step,3.0,5,107,0.6728971962616822,0.37383177570093457,0.08411214953271028,0.14165551563701098,-0.06334331527070074,0.08554059921841077,-6.777734733964978,-0.502822429906542,-1.0,0.5743073047858943,48231.2,-0.1506557754875022,-0.592702072684379,True,5
weekly,otm_step,2.0,1,205,0.7219512195121951,0.28780487804878047,0.23414634146341465,0.1990926829268293,-0.0641746583508768,0.15473441108545036,-13.155804961929743,-0.060517073170731704,-1.0,0.7301038062283741,19535.79999999996,-0.3051904990130928,-0.8570333209192282,True,2
weekly,otm_step,2.0,3,195,0.6871794871794872,0.3282051282051282,0.11794871794871795,0.17194188034188035,-0.06557565766160976,0.10537951363301401,-12.787253244013904,-0.1425641025641027,-1.0,0.6146393972012917,23043.19999999991,-0.27913094629189394,-0.8358854493162688,True,9
weekly,delta,0.2,2,203,0.7931034482758621,0.21674876847290642,0.08866995073891626,0.08823929939792008,-0.06842061434503642,0.08342361863488625,-13.889384712042393,-0.13549753694581287,-1.0,0.16414435389988358,22640.39999999999,-0.2819600540707342,-0.8014355157915858,True,9
two_week,otm_step,3.0,3,111,0.7117117117117117,0.3333333333333333,0.13513513513513514,0.16646036036036038,-0.06941560943162278,0.10701107011070111,-7.705132646910129,-0.17929729729729732,-1.0,0.48957298907646457,41345.59999999998,-0.17876140050332767,-0.6826597280318947,True,5
two_week,delta,0.15,3,107,0.8037383177570093,0.205607476635514,0.056074766355140186,0.051288832247710754,-0.07054725927039787,0.05042016806722692,-7.548556741932572,-0.39966355140186927,-1.0,0.09170305676855894,46305.00000000005,-0.1581060342276036,-0.5490595886799081,True,5
weekly,delta,0.3,2,209,0.722488038277512,0.3014354066985646,0.15789473684210525,0.15706124401913876,-0.07085032900459225,0.16686114352392067,-14.807718761959778,-0.10413397129186606,-1.0,0.3333333333333334,18767.999999999898,-0.31137488370628397,-0.859525800141238,True,9
