structure,tenor,rule,param,width,trades,win_rate,mean_ror,median_ror,total_ror,worst_ror,net_pct_width,frac10_end,frac10_maxdd,full_ruin_trade
bull_call,weekly,otm_step,0.0,3,210,0.43333333333333335,-0.013668815467662934,-0.5139784946236554,-2.870451248209216,-1.0,-0.40796507936507936,22930.200000000037,-0.7973139999999996,1.0
bull_call,two_week,delta,0.7,2,113,0.5752212389380531,-0.013989149047779056,0.16279069767441817,-1.5807738423990334,-1.0,-0.6728082595870205,62833.20000000013,-0.5602519999999995,1.0
bull_put,monthly,delta,0.3,5,47,0.7021276595744681,-0.015116052083610255,0.19731800766283522,-0.710454447929682,-1.0,0.20311631205673755,89362.4,-0.334302,1.0
bull_call,weekly,delta,0.7,3,211,0.4976303317535545,-0.015456540959677625,-0.050632911392405104,-3.2613301424919787,-1.0,-0.536050552922591,31973.20000000009,-0.6890519999999997,1.0
bull_put,two_week,delta,0.1,3,101,0.9108910891089109,-0.017048749218048675,0.051156271899089,-1.721923671022916,-1.0,0.05169273927392739,81444.40000000004,-0.3056270488472267,6.0
bull_put,two_week,delta,0.1,5,87,0.9080459770114943,-0.018561448579834963,0.04123281965847564,-1.6148460264456417,-1.0,0.04252988505747127,82851.99999999999,-0.28679428815999386,36.0
bull_put,two_week,delta,0.15,5,98,0.8673469387755102,-0.019031316247040225,0.06541701325448689,-1.865068992209942,-1.0,0.06818399359743899,79466.20000000001,-0.29941568466514223,6.0
bull_put,monthly,delta,0.15,5,43,0.813953488372093,-0.022097176784311008,0.08271979211779991,-0.9501786017253734,-1.0,0.09001173864894796,89384.59999999996,-0.19713800000000048,1.0
bull_put,monthly,delta,0.1,1,47,0.8723404255319149,-0.023318101756102827,0.09409190371991243,-1.0959507825368329,-1.0,0.08256879432624115,87420.99999999997,-0.23113752228934126,1.0
bull_put,two_week,delta,0.2,5,99,0.8181818181818182,-0.02677486687198322,0.09313511149978139,-2.6507118203263387,-1.0,0.09685350945350943,74824.79999999993,-0.2865513078783225,6.0
bull_put,monthly,otm_step,3.0,3,47,0.723404255319149,-0.026969073266007414,0.21199324324324367,-1.2675464435023485,-1.0,0.22864184397163118,82118.60000000002,-0.36924199999999996,1.0
bull_put,two_week,otm_step,2.0,2,111,0.7297297297297297,-0.027885254442595455,0.2008733624454137,-3.0952632431280955,-1.0,0.2364936936936937,62632.00000000007,-0.4220839999999997,1.0
bull_call,two_week,delta,0.6,1,113,0.5221238938053098,-0.028363695547188674,0.20192307692307715,-3.2050975968323203,-1.0,-0.6605486725663717,45000.800000000105,-0.5892219999999997,1.0
bull_put,two_week,otm_step,1.0,1,110,0.6181818181818182,-0.028619588552571854,0.392757660167131,-3.148154740782904,-1.0,0.32718181818181813,55309.000000000044,-0.5885619999999995,1.0
bull_put,two_week,otm_step,3.0,2,109,0.7798165137614679,-0.028824000619611267,0.15606936416184972,-3.1418160675376283,-1.0,0.18035881753312946,64167.200000000026,-0.4857699999999999,1.0
bull_call,weekly,delta,0.6,2,211,0.4597156398104265,-0.029756276316568228,-0.31972789115646266,-6.278574302795896,-1.0,-0.49574881516587677,19512.800000000105,-0.8048719999999989,1.0
bull_put,weekly,delta,0.1,3,184,0.8478260869565217,-0.031563638557454074,0.03842172358596364,-5.807709494571549,-1.0,0.04209530632411068,53501.80000000001,-0.5187499999999997,1.0
bull_put,monthly,otm_step,3.0,5,46,0.6956521739130435,-0.036355801200723216,0.14051308520236305,-1.672366855233268,-1.0,0.2057710344003822,80050.39999999998,-0.30096,1.0
bull_put,weekly,delta,0.1,2,191,0.8534031413612565,-0.0368961459302936,0.046025104602510504,-7.0471638726860775,-1.0,0.049467190226876095,46624.60000000009,-0.5738683178946833,1.0
bull_put,two_week,otm_step,3.0,1,107,0.7850467289719626,-0.038652697107905226,0.1547344110854505,-4.135838590545859,-1.0,0.1782803738317757,58011.00000000007,-0.4938319999999995,1.0
