week,entry,expiry,K,spot0,prem_pct,S_E,move_pct,intr_pct,hedge_pct,net_pct,gate,equity
68,2023-04-13,2023-04-21,15.5,15.67,0.09763880025526483,14.86,-0.05169112954690491,0.040842373962986636,-0.0009014677728143453,-0.05769789406509255,ON,140462.60910644455
69,2023-04-20,2023-04-28,15.0,15.2,0.09605263157894738,14.23,-0.06381578947368416,0.05065789473684208,0.04608447368421057,0.000689736842105281,ON,140559.4913428835
70,2023-04-27,2023-05-05,13.5,13.54,0.10782865583456426,14.47,0.06868537666174301,0.07163958641063521,0.01378286558345644,0.0,off,140559.4913428835
71,2023-05-04,2023-05-12,13.5,13.6,0.10661764705882354,14.02,0.03088235294117636,0.03823529411764703,0.026560147058823598,0.0,off,140559.4913428835
72,2023-05-11,2023-05-19,14.0,14.07,0.08457711442786069,17.39,0.2359630419331913,0.2409381663113007,-0.13196687988628292,0.0,off,140559.4913428835
73,2023-05-18,2023-05-26,17.5,17.67,0.09620826259196377,22.880000000000003,0.29485002829654783,0.3044708545557443,-0.05311980758347513,0.1551427843803054,ON,162366.28220089787
74,2023-05-25,2023-06-02,19.0,19.15,0.1143603133159269,22.02,0.14986945169712795,0.1577023498694517,0.02413984334203667,0.06748187989556145,ON,173323.0641554677
75,2023-06-01,2023-06-09,22.0,22.16,0.10830324909747294,22.4,0.010830324909747224,0.018050541516245425,0.020424729241877323,-0.06982797833935019,ON,161220.2649859099
76,2023-06-08,2023-06-16,22.5,22.28,0.09470377019748652,25.24,0.1328545780969479,0.12298025134649902,-0.007823877917414629,0.020452603231597873,ON,164517.63909855977
77,2023-06-15,2023-06-23,26.0,25.950000000000003,0.09518304431599227,21.89,-0.1564547206165704,0.15838150289017336,-0.07097094412331403,-0.0077724855491329336,ON,163238.92812608875
78,2023-06-22,2023-06-30,23.0,23.1,0.08744588744588744,24.83,0.07489177489177479,0.07922077922077914,0.028166277056277122,0.019941168831168823,ON,166494.10315167013
79,2023-06-29,2023-07-07,24.0,23.81,0.07853842923141538,22.96,-0.03569928601427963,0.04367912641747162,0.03208152036959253,-0.0027777824443512324,ON,166031.6187548474
80,2023-07-06,2023-07-14,23.0,22.98,0.08616187989556136,26.23,0.14142732811140113,0.14055700609225416,-0.05443346388163618,-3.833768494338648e-05,ON,166025.25348695694
81,2023-07-13,2023-07-21,27.5,27.28,0.0846774193548387,24.92,-0.08651026392961869,0.09457478005865096,0.04525065982404683,0.05514802052785908,ON,175181.21757439864
82,2023-07-20,2023-07-28,24.5,24.290000000000003,0.09921778509674763,28.15,0.15891313297653342,0.1502675998353231,-0.06500720461095087,-0.013957389872375395,ON,172736.14502239533
83,2023-07-27,2023-08-04,26.5,26.46,0.09372637944066516,24.880000000000003,-0.05971277399848818,0.06122448979591827,0.06309569160997733,0.03059380196523045,ON,178020.80043544783
84,2023-08-03,2023-08-11,25.0,25.15,0.09662027833001988,21.14,-0.15944333996023852,0.15347912524850893,-0.06419896620278329,-0.007340119284294235,ON,176714.1065251661
85,2023-08-10,2023-08-18,23.0,22.81,0.09469530907496714,20.15,-0.1166155195089873,0.12494519947391503,0.00385607189829011,0.034105962297237995,ON,182741.11117970353
86,2023-08-17,2023-08-25,20.0,19.91,0.11551983927674535,20.66,0.03766951280763431,0.03314917127071824,0.05165328980411858,0.0,off,182741.11117970353
87,2023-08-24,2023-09-01,20.5,20.41,0.10877021068103869,24.02,0.17687408133268012,0.17246447819696226,-0.0797195492405683,-0.016025281724644746,ON,179812.63339037416
88,2023-08-31,2023-09-08,24.0,23.86,0.08005029337803857,21.5,-0.09891031014249785,0.10477787091366304,-0.033215842414082195,-0.00848826487845772,ON,178286.33612966366
89,2023-09-07,2023-09-15,22.0,21.87,0.09327846364883402,19.790000000000003,-0.09510745313214441,0.10105166895290339,-0.0154111111111111,-0.007637905807041723,ON,176924.6018876227
90,2023-09-14,2023-09-22,21.5,21.65,0.08267898383371826,17.84,-0.1759815242494226,0.16905311778290996,-0.062309930715935435,0.024064203233256264,ON,181182.1514644094
91,2023-09-21,2023-09-29,17.5,17.42,0.1010332950631458,18.87,0.08323765786452353,0.07864523536165333,0.0006410447761193191,0.0,off,181182.1514644094
